type,sleep_start,sleep_end,temperature_samples,nightly_temperature,baseline_relative_sample_sum,baseline_relative_sample_sum_of_squares,baseline_relative_nightly_standard_deviation,baseline_relative_sample_standard_deviation
SKIN,2021-02-01T01:42,2021-02-01T07:11:30,329,34.103753799392095,-61.55233915634744,438.29781551857013,0.2803460919706134,0.9805669502354315
SKIN,2021-02-02T03:55,2021-02-02T10:36:30,402,34.54720149253731,97.13206381823693,510.8400749915745,0.2841531327114582,0.9885669781711383
SKIN,2021-02-03T02:17:30,2021-02-03T06:21,236,34.84277542372882,126.77825139578181,260.255474160891,0.2977068902935336,0.9973102046704628
SKIN,2021-02-04T01:53,2021-02-04T07:05:30,313,34.627891373801916,100.88363426643991,131.1794072294142,0.2853143051998089,0.9959167225100534
SKIN,2021-02-05T02:17:30,2021-02-05T07:19:30,302,34.016589403973505,-82.82457880005131,377.5062736867694,0.28521330625063385,1.006803175180211
SKIN,2021-02-06T05:39:30,2021-02-06T10:00,260,34.06365384615384,-51.574754158515134,82.2493260250194,0.28769421974395093,1.0051613529221486
SKIN,2021-02-07T01:27:30,2021-02-07T10:00,512,34.6429296875,180.26839620653482,382.40646224748343,0.2953797575409025,1.0104391083114403
SKIN,2021-02-08T03:37,2021-02-08T07:20:30,222,33.95664414414414,-74.19214070732323,700.3469016564777,0.3013554602386306,1.035469137174767
SKIN,2021-02-09T01:52,2021-02-09T06:33:30,282,34.63452127659575,92.76159700682183,650.8652801569551,0.29284408335472994,1.0510977211086965
SKIN,2021-02-10T01:36,2021-02-10T06:22,286,34.14653846153846,-45.485720766129816,273.76616676081903,0.2933707587603306,1.0577039755494317
SKIN,2021-02-11T03:04:30,2021-02-11T06:29,204,33.79642156862745,-100.86196713645859,880.7664035031339,0.3077459345768955,1.0826898414188455
SKIN,2021-02-12T03:33,2021-02-12T08:54:30,314,34.23235668789809,-18.364694513962604,330.3166388680693,0.2983671587686427,1.0644657835175932
SKIN,2021-02-13T01:35,2021-02-13T07:19:30,345,34.679,133.9141732251046,202.50085692910943,0.30595659346425075,1.0678888492607115
SKIN,2021-02-14T03:07:30,2021-02-14T08:29:30,322,34.46810559006211,57.078561676766185,214.60853945056442,0.30512655629804636,1.0620805767994992
SKIN,2021-02-15T02:08,2021-02-15T07:03:30,288,33.88260416666667,-117.57277713382427,249.44256744068116,0.3114103149696849,1.0624249944518305
SKIN,2021-02-16T01:26:30,2021-02-16T07:11:30,336,33.120892857142856,-393.10323998946114,800.420414554188,0.3770494054679847,1.0813098102613472
SKIN,2021-02-17T03:44:30,2021-02-17T07:06,201,34.68644278606965,79.51556179201907,55.39917272195453,0.3788295008445156,1.0795756055781778
SKIN,2021-02-18T02:09,2021-02-18T07:00:30,284,34.30345070422535,0.17084134615470248,354.1923710802803,0.3788681855861797,1.08678928749116
SKIN,2021-02-19T02:49,2021-02-19T06:44:30,236,34.57074152542373,63.22260055525567,121.77109786425717,0.38224306334074715,1.0910204149627014
SKIN,2021-02-20T03:30:30,2021-02-20T09:29:30,359,34.56408077994429,93.78215508193534,217.6274118713336,0.3825487090530109,1.0914442195933087
SKIN,2021-02-21T01:48:30,2021-02-21T08:57,428,34.143738317757006,-52.88531678711479,374.87138068140484,0.37869724143308076,1.0784946812495262
SKIN,2021-02-22T00:43,2021-02-22T06:53:30,371,34.3577628032345,20.372965279661003,397.75374707358424,0.3765413365660482,1.0880593354155157
SKIN,2021-02-23T02:20,2021-02-23T06:18:30,238,34.10754201680672,-46.483097745122905,310.40011765121017,0.37487553803251444,1.0986555398741071
SKIN,2021-02-24T01:07,2021-02-24T06:24:30,316,34.19003164556962,-24.417476880207687,358.7118002441712,0.36924224851845505,1.1101271208696535
SKIN,2021-02-25T01:05,2021-02-25T06:31:30,273,33.75124542124542,-125.5660075183423,1218.1104541907553,0.38062933967764323,1.1557275518980326
SKIN,2021-02-26T02:33:30,2021-02-26T07:09:30,265,34.10054716981132,-29.321454184471804,317.5030765113188,0.38134216649951497,1.1540755095976807
SKIN,2021-02-27T03:07,2021-02-27T08:07:30,301,34.17413621262459,-2.392262658227992,207.53368844056968,0.3707952024795748,1.1421721791609587
SKIN,2021-02-28T03:53:30,2021-02-28T11:11:30,438,34.54181506849315,157.56223905546904,343.24122580187395,0.3750781372115947,1.1473260065224484
SKIN,2021-03-01T03:27,2021-03-01T07:10:30,224,34.056741071428576,-28.07680011775119,785.9929973431281,0.3743401307666514,1.1655884039154283
