type,sleep_start,sleep_end,temperature_samples,nightly_temperature,baseline_relative_sample_sum,baseline_relative_sample_sum_of_squares,baseline_relative_nightly_standard_deviation,baseline_relative_sample_standard_deviation
SKIN,2020-11-01T03:57,2020-11-01T11:44:30,468,34.20945512820513,45.06624999999622,282.81090889754705,0.458697385558105,1.2159451135880732
SKIN,2020-11-02T02:05:30,2020-11-02T06:21,248,33.87760080645161,-55.23158083645467,291.85356168006547,0.45087701222731624,1.2123940098627182
SKIN,2020-11-04T09:39:30,2020-11-04T12:58:30,199,34.55746231155779,88.41621527777716,92.45589685451705,0.47002472208404034,1.228376377361721
SKIN,2020-11-05T08:05:30,2020-11-05T14:49:30,404,34.675457920792084,223.67491792929104,313.71748461795505,0.47700286676378023,1.2176075246997622
SKIN,2020-11-06T05:56,2020-11-06T13:13:30,438,34.325057077625566,84.85244702665659,538.6059376515914,0.4760733449252423,1.2206524174024864
SKIN,2020-11-07T05:32:30,2020-11-07T12:01:30,389,34.25370179948586,47.60261847801303,545.6910360819893,0.47630457240313295,1.2071954610416986
SKIN,2020-11-08T03:21,2020-11-08T08:42:30,311,34.23353697749196,31.51408521303165,301.8205277067609,0.4686401155504114,1.201017531561644
SKIN,2020-11-09T02:34:30,2020-11-09T10:19,463,34.201263498920085,0.0,773.6414858533535,0.4097345568216288,1.172101196059094
SKIN,2020-11-10T08:03:30,2020-11-10T12:07:30,244,34.3955737704918,45.41294871794889,162.33251602970995,0.4127820009052272,1.1658981814008518
SKIN,2020-11-11T05:04,2020-11-11T10:30,317,33.43840694006309,-244.4222756410254,789.8189232792938,0.4325933041074667,1.1835512507515304
SKIN,2020-11-12T04:30,2020-11-12T10:06:30,337,33.979821958456974,-74.62579913606714,452.0802412366029,0.4237216890663987,1.1880009816692478
SKIN,2020-11-13T05:58,2020-11-13T12:33,395,34.151607594936706,1.8189894035458565E-12,238.2757541773608,0.40573419187799775,1.177428967436815
SKIN,2020-11-14T04:52,2020-11-14T12:24:30,452,33.935984513274335,-97.46163291139055,264.3536645238055,0.40638458008398587,1.1485564323620259
SKIN,2020-11-15T05:33,2020-11-15T08:53:30,201,33.22271144278607,-186.70812658227806,256.8789076213143,0.42995610208331425,1.1482597174165337
SKIN,2020-11-16T02:32:30,2020-11-16T09:31,418,34.19927033492823,19.923025316456915,988.1646884276997,0.42928713692111437,1.178132316884216
SKIN,2020-11-17T01:57,2020-11-17T10:39:30,514,33.73640077821012,-193.6540972222283,566.0477046126034,0.42698251561023315,1.1756129852303088
SKIN,2020-11-18T08:45,2020-11-18T12:29:30,225,34.09493333333333,0.0,380.6720240000286,0.4268648221674805,1.1845712288282915
SKIN,2020-11-19T02:39:30,2020-11-19T09:03:30,381,33.762506561679785,-123.8064466292144,870.8997474461794,0.4239728214859733,1.2094256397397396
SKIN,2020-11-21T03:02,2020-11-21T10:19,437,34.159153318077806,29.697523127339082,310.75631265423726,0.42178767607260154,1.2071168192031172
SKIN,2020-11-23T02:04,2020-11-23T06:55:30,282,34.30505319148936,43.27165822784809,287.7749696128303,0.43343470377835586,1.21058776638801
SKIN,2020-11-24T02:11:30,2020-11-24T07:07:30,286,33.369003496503495,-223.8247721518983,310.853075013496,0.4456942121755166,1.2039655661108788
SKIN,2020-11-25T02:45:30,2020-11-25T06:50:30,245,34.1804693877551,7.071139240506454,199.05730677617248,0.4421622072192005,1.2099067573692557
SKIN,2020-11-26T02:43,2020-11-26T07:04,261,34.546455938697314,101.08598398169306,403.8603632473387,0.454151249168084,1.2268173592916625
SKIN,2020-11-27T03:17,2020-11-27T06:51,214,34.08406542056075,-16.068810068650237,78.65808624780038,0.3462985084907952,1.065519754311852
SKIN,2020-11-28T05:09,2020-11-28T12:28,439,33.708132118451026,-197.99830663615649,478.3597521202173,0.35252430103789784,1.0683827691475034
SKIN,2020-11-29T04:00:30,2020-11-29T07:29,208,33.79139423076923,-76.49389016018358,163.6541189030395,0.3565710148397078,1.0725026541860068
SKIN,2020-11-30T04:09:30,2020-11-30T10:31:30,381,34.23014435695538,27.047585812355464,384.92155327636283,0.35668255042865266,1.0797779386373867
SKIN,2020-12-01T01:53,2020-12-01T06:59,306,33.7356862745098,-127.27192405063215,175.24286258686334,0.360687117014025,1.0823697158455272
