type,sleep_start,sleep_end,temperature_samples,nightly_temperature,baseline_relative_sample_sum,baseline_relative_sample_sum_of_squares,baseline_relative_nightly_standard_deviation,baseline_relative_sample_standard_deviation
SKIN,2020-12-01T01:53,2020-12-01T06:59,306,33.7356862745098,-127.27192405063215,175.24286258686334,0.360687117014025,1.0823697158455272
SKIN,2020-12-02T09:42,2020-12-02T13:20:30,219,34.830821917808215,147.09542334096022,218.27237907692324,0.38941992900802624,1.082098175004119
SKIN,2020-12-04T03:38,2020-12-04T07:21,223,33.89661434977578,-56.86349367088587,456.0420756164822,0.37874248297050117,1.098006419600689
SKIN,2020-12-05T04:38:30,2020-12-05T08:39:30,241,34.49163900414938,81.94756962025349,286.1188751729205,0.368649194215349,1.105167528407365
SKIN,2020-12-06T03:31,2020-12-06T10:29,418,33.80127990430622,-122.74713333333239,328.6544068577932,0.367213396309139,1.0929981138654787
SKIN,2020-12-08T05:07,2020-12-08T08:28,201,34.1402487562189,10.200625233645042,79.59761296102079,0.3699181891575487,1.0818844174136395
SKIN,2020-12-10T08:46,2020-12-10T14:30,344,34.76629360465116,234.6864953271015,350.7720408834284,0.3981497481281834,1.0751983200169974
SKIN,2020-12-11T09:29:30,2020-12-11T13:05:30,216,34.75743055555556,143.09940000000006,194.9432039600215,0.4048861488030899,1.05144059105741
SKIN,2020-12-12T13:55,2020-12-12T17:34,219,32.757123287671234,-292.98039999999855,701.0630599733558,0.4831552170587704,1.0718979975604086
SKIN,2020-12-13T06:38:30,2020-12-13T12:58,379,34.08970976253298,0.0,583.0629680739949,0.48264399613131087,1.0936401858392104
SKIN,2020-12-14T10:53:30,2020-12-14T14:00:30,187,34.60088235294118,94.61246666666739,78.05231416446622,0.49575052403630276,1.1038568004422464
SKIN,2020-12-15T08:16,2020-12-15T12:47,271,35.06542435424354,250.7225870646762,287.2184956250712,0.5044885289569881,1.1038066239664504
SKIN,2020-12-15T21:21:30,2020-12-16T00:24:30,183,32.94344262295082,-210.72279999999955,340.4907778133056,0.5565214847132127,1.0796330833864678
SKIN,2020-12-17T18:56,2020-12-17T23:35,279,34.488835125448034,97.25559701492602,227.24897186656017,0.5578604640035804,1.0770697315631506
SKIN,2020-12-18T19:44:30,2020-12-18T23:43,238,31.230231092436973,-692.5842039800991,2241.0511295283213,0.8010008721605181,1.18612885376277
SKIN,2020-12-19T09:12,2020-12-19T13:11,239,34.640564853556484,115.05735697940418,221.39738763624337,0.809844660191475,1.1614982204550934
SKIN,2020-12-20T09:34:30,2020-12-20T13:25:30,231,34.262640692640694,21.443577476298742,150.22623231599573,0.7948568362036396,1.1520755086947183
SKIN,2020-12-21T02:46:30,2020-12-21T09:41,414,34.474444444444444,111.42295484493116,193.57262576417997,0.7992424511951695,1.1475766466464639
SKIN,2020-12-22T00:42,2020-12-22T08:34,470,34.431170212765956,94.48215223097213,612.9082118941005,0.7872249524498779,1.1480617364505135
SKIN,2020-12-23T02:24,2020-12-23T07:52:30,328,34.11658536585366,-20.95395918367467,345.94194879720453,0.7858025147407665,1.147480077743969
SKIN,2020-12-24T02:47,2020-12-24T08:54,365,33.9736301369863,-75.49632653061235,369.3466186838923,0.7740886934060407,1.1458543621898567
SKIN,2020-12-25T10:10:30,2020-12-25T13:27:30,197,34.49568527918782,52.31156167979043,169.11569281911943,0.7781011479629936,1.1479504140486976
SKIN,2020-12-26T02:59,2020-12-26T07:23,264,34.37865530303031,39.206889763780055,209.37064992403612,0.7749544924534698,1.1363170772398834
SKIN,2020-12-27T03:24:30,2020-12-27T08:51,326,34.93503067484663,219.19913419913246,247.37155163707212,0.7922029004881262,1.138551980285501
SKIN,2020-12-28T02:36,2020-12-28T10:32,475,34.220178947368424,-20.169329004331303,344.5745347000193,0.7882730509320148,1.1284915585077007
SKIN,2020-12-29T03:52:30,2020-12-29T11:04:30,432,34.45096064814815,31.235909090908535,205.4267995179398,0.7875530688177247,1.114856018938004
SKIN,2020-12-30T05:50,2020-12-30T11:17:30,328,34.2028506097561,-57.66393939394038,304.0985008579446,0.7874714233578035,1.1141453443244276
SKIN,2020-12-31T04:46:30,2020-12-31T10:32:30,346,33.741734104046245,-220.3747348484867,362.7816498830216,0.7873484900016561,1.1218488841923293
SKIN,2021-01-01T05:16,2021-01-01T12:54,443,34.7522460496614,165.50070075757503,233.91282054479234,0.7848956931376333,1.1073854140691413
