type,sleep_start,sleep_end,temperature_samples,nightly_temperature,baseline_relative_sample_sum,baseline_relative_sample_sum_of_squares,baseline_relative_nightly_standard_deviation,baseline_relative_sample_standard_deviation
SKIN,2021-11-01T02:09:30,2021-11-01T06:41,271,34.235,-4.349308035714785,142.97065251076128,2.7462154905057456,2.238438522306397
SKIN,2021-11-02T08:56:30,2021-11-02T11:57,180,34.81736111111111,65.76801675977549,190.6539994640043,2.7629461085169695,2.272615053590494
SKIN,2021-11-04T00:59:30,2021-11-04T06:54,351,34.65180911680912,66.90782319009668,191.29808419954497,2.8435702808613583,2.317405326908242
SKIN,2021-11-07T03:19:30,2021-11-07T09:49:30,390,34.86460256410256,97.52565395095553,260.32679206039757,2.1693041853723205,2.0300706751391253
SKIN,2021-11-08T01:35,2021-11-08T06:59,320,34.622390625,0.0,209.26804617187008,2.150176401601656,2.002256600760482
SKIN,2021-11-09T00:06:30,2021-11-09T07:16:30,430,35.07112790697675,181.78845622119843,238.26596590760164,2.163053740448789,2.0174710899742254
SKIN,2021-11-11T02:56:30,2021-11-11T06:46,229,34.84316593886463,44.21517179355851,123.02106644853484,0.3263190655500152,0.8849733067920946
SKIN,2021-11-11T23:49,2021-11-12T09:28:30,576,34.12418402777777,-302.9198735672944,696.6134029547684,0.34581888918001213,0.8926720756090212
SKIN,2021-11-14T01:13,2021-11-14T07:27,374,34.53886363636364,-41.59738318431846,238.35762570274528,0.2772489303411118,0.7947239589734075
SKIN,2021-11-15T03:22:30,2021-11-15T07:11,227,34.97977973568282,74.44933048432995,362.8790819803253,0.28364076358765605,0.8160077673242179
SKIN,2021-11-19T03:27,2021-11-19T07:22,234,33.90209401709402,-175.4333333333334,540.9416929250583,0.34093746153836396,0.8900424281327819
SKIN,2021-11-20T02:43:30,2021-11-20T08:20,334,34.53062874251497,-40.47424501424575,356.49710212415084,0.32324246759626685,0.90796128418233
SKIN,2021-11-21T02:25:30,2021-11-21T08:18:30,353,34.37086402266289,-98.56556487717717,200.4951911602402,0.3187274259458664,0.900254392879141
SKIN,2021-11-22T00:52,2021-11-22T07:20,388,34.2047293814433,-172.1302534562219,236.23824543785304,0.3238831366151589,0.8941204711601997
SKIN,2021-11-23T03:17,2021-11-23T07:26:30,249,34.19170682730924,-107.24026562499967,576.0766444631154,0.3370717817263208,0.9408040543858237
SKIN,2021-11-25T03:40,2021-11-25T07:30,228,34.641820175438596,2.2149687499995707,355.35563755070325,0.3275853710120473,0.9547258575031887
