"provider_id","sku","timestamp","provider_transaction_id"
"apple","com.fitbit.external.prod.monthly.premium_ft3m","2019-09-11T05:59:50Z","490000507790992"
"apple","com.fitbit.external.prod.monthly.premium_ft6m","2020-09-25T16:22:45Z","490000681032757"
