wire_id,device_type,serial_number,enabled,fw_version
db950da0a032,MobileTrack,32a0a00d95db,false,APP50.0 BSL50.0
295957972A2C,Sense,,false,APP44.128.6.17 BSL44.1.15 PERIPH|BT_RADIO|1.6.50|0 PERIPH|GPS|2004.2500.0|0 PERIPH|TOUCH|5.10.0|5 PERIPH|WIFI|2000.0.11|0 PERIPH|BT_NFC|63.0.24|0 PERIPH|SNSR_HUB|0.3.0|0 PERIPH|DSP|1.0.26|0 PERIPH|CODEC|0.0.8|0 PERIPH|HAPTICS|1.0.10|0
