timestamp,bucket_values
2021-10-03T09:21:00,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.001, 0.001, 0.001, 0.005, 0.011, 0.017, 0.036, 0.051, 0.07, 0.131, 0.191, 0.219, 0.17, 0.077, 0.016, 0.003, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
2021-10-04T07:07:00,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.001, 0.002, 0.004, 0.008, 0.018, 0.055, 0.096, 0.146, 0.201, 0.213, 0.147, 0.074, 0.029, 0.004, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
2021-10-05T07:02:30,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.001, 0.002, 0.005, 0.005, 0.011, 0.023, 0.045, 0.063, 0.095, 0.142, 0.188, 0.189, 0.133, 0.068, 0.023, 0.006, 0.001, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
2021-10-06T07:08:00,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.001, 0.002, 0.005, 0.007, 0.009, 0.015, 0.036, 0.07, 0.122, 0.21, 0.238, 0.176, 0.078, 0.023, 0.007, 0.001, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
2021-10-09T07:13:30,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.001, 0.002, 0.004, 0.006, 0.012, 0.033, 0.066, 0.086, 0.115, 0.138, 0.161, 0.148, 0.108, 0.066, 0.036, 0.013, 0.004, 0.001, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
2021-10-10T09:13:00,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.002, 0.004, 0.005, 0.006, 0.01, 0.024, 0.079, 0.163, 0.277, 0.24, 0.127, 0.053, 0.008, 0.001, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
2021-10-11T09:16:30,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.004, 0.004, 0.005, 0.008, 0.018, 0.061, 0.154, 0.245, 0.284, 0.173, 0.039, 0.004, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
2021-10-11T10:59:30,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.004, 0.004, 0.005, 0.008, 0.018, 0.061, 0.154, 0.245, 0.284, 0.173, 0.039, 0.004, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
2021-10-12T01:09:30,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
2021-10-12T11:51:30,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
2021-10-13T07:01:30,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.001, 0.004, 0.005, 0.01, 0.015, 0.043, 0.093, 0.148, 0.178, 0.182, 0.156, 0.105, 0.043, 0.013, 0.003, 0.001, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
2021-10-14T07:09:00,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.002, 0.003, 0.004, 0.008, 0.027, 0.071, 0.123, 0.163, 0.162, 0.143, 0.124, 0.093, 0.052, 0.019, 0.004, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
2021-10-17T10:03:00,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.004, 0.006, 0.009, 0.017, 0.034, 0.099, 0.17, 0.177, 0.195, 0.174, 0.089, 0.024, 0.003, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
2021-10-18T06:50:30,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.001, 0.002, 0.003, 0.008, 0.028, 0.1, 0.169, 0.194, 0.182, 0.155, 0.1, 0.045, 0.011, 0.001, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
2021-10-19T06:56:30,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.001, 0.002, 0.006, 0.004, 0.009, 0.013, 0.029, 0.064, 0.117, 0.188, 0.211, 0.185, 0.106, 0.046, 0.014, 0.002, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
2021-10-21T07:11:00,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.002, 0.005, 0.004, 0.011, 0.044, 0.115, 0.152, 0.189, 0.211, 0.148, 0.074, 0.032, 0.011, 0.002, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
2021-10-24T08:12:30,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.003, 0.005, 0.013, 0.027, 0.081, 0.18, 0.222, 0.205, 0.143, 0.074, 0.032, 0.009, 0.002, 0.001, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
2021-10-27T07:16:00,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.003, 0.005, 0.006, 0.009, 0.019, 0.075, 0.143, 0.179, 0.191, 0.17, 0.114, 0.054, 0.022, 0.008, 0.003, 0.001, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
2021-10-28T06:59:00,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.001, 0.003, 0.004, 0.008, 0.033, 0.088, 0.112, 0.126, 0.145, 0.175, 0.163, 0.098, 0.036, 0.008, 0.001, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
