date_time,heart_zone_id,total_minutes
2022-06-01T00:06,FAT_BURN,1
2022-06-02T17:12,FAT_BURN,1
2022-06-02T17:13,FAT_BURN,1
2022-06-02T17:14,FAT_BURN,1
2022-06-02T17:15,FAT_BURN,1
2022-06-02T17:16,FAT_BURN,1
2022-06-02T17:17,FAT_BURN,1
2022-06-02T17:18,FAT_BURN,1
2022-06-02T17:19,FAT_BURN,1
2022-06-02T17:20,FAT_BURN,1
2022-06-02T17:21,FAT_BURN,1
2022-06-02T17:22,FAT_BURN,1
2022-06-02T17:23,FAT_BURN,1
2022-06-02T17:24,FAT_BURN,1
2022-06-02T17:25,FAT_BURN,1
2022-06-02T17:26,FAT_BURN,1
2022-06-02T17:27,CARDIO,2
2022-06-02T17:28,CARDIO,2
2022-06-02T17:29,CARDIO,2
2022-06-02T17:30,CARDIO,2
2022-06-02T17:31,FAT_BURN,1
2022-06-02T17:32,FAT_BURN,1
2022-06-02T17:33,FAT_BURN,1
2022-06-02T17:34,FAT_BURN,1
2022-06-02T17:35,FAT_BURN,1
2022-06-02T17:36,FAT_BURN,1
2022-06-02T17:37,FAT_BURN,1
2022-06-02T17:38,FAT_BURN,1
2022-06-02T17:39,FAT_BURN,1
2022-06-02T17:40,FAT_BURN,1
2022-06-02T17:41,FAT_BURN,1
2022-06-02T17:42,FAT_BURN,1
2022-06-02T17:43,FAT_BURN,1
2022-06-02T17:44,FAT_BURN,1
2022-06-03T16:43,FAT_BURN,1
2022-06-04T11:37,FAT_BURN,1
2022-06-04T11:38,FAT_BURN,1
2022-06-04T11:42,FAT_BURN,1
2022-06-04T14:08,FAT_BURN,1
2022-06-04T14:09,FAT_BURN,1
2022-06-04T14:10,FAT_BURN,1
2022-06-04T16:30,FAT_BURN,1
2022-06-04T16:40,FAT_BURN,1
2022-06-04T16:41,FAT_BURN,1
2022-06-04T17:21,FAT_BURN,1
2022-06-04T17:22,FAT_BURN,1
2022-06-04T17:24,FAT_BURN,1
2022-06-04T17:25,FAT_BURN,1
2022-06-04T17:26,FAT_BURN,1
2022-06-04T17:27,FAT_BURN,1
2022-06-04T17:28,FAT_BURN,1
2022-06-04T17:29,FAT_BURN,1
2022-06-04T17:30,FAT_BURN,1
2022-06-04T17:31,FAT_BURN,1
2022-06-04T17:32,FAT_BURN,1
2022-06-04T17:33,FAT_BURN,1
2022-06-04T17:34,FAT_BURN,1
2022-06-04T17:35,FAT_BURN,1
2022-06-04T17:36,FAT_BURN,1
2022-06-04T17:37,FAT_BURN,1
2022-06-04T17:38,FAT_BURN,1
2022-06-04T17:39,FAT_BURN,1
2022-06-04T17:40,FAT_BURN,1
2022-06-04T17:41,FAT_BURN,1
2022-06-04T17:42,FAT_BURN,1
2022-06-04T17:43,FAT_BURN,1
2022-06-04T17:44,FAT_BURN,1
2022-06-04T17:45,FAT_BURN,1
2022-06-04T17:46,FAT_BURN,1
2022-06-04T17:47,FAT_BURN,1
2022-06-04T17:50,FAT_BURN,1
2022-06-04T17:51,FAT_BURN,1
2022-06-04T17:52,FAT_BURN,1
2022-06-04T17:53,FAT_BURN,1
2022-06-04T17:54,FAT_BURN,1
2022-06-04T17:55,FAT_BURN,1
2022-06-04T17:56,FAT_BURN,1
2022-06-04T17:57,FAT_BURN,1
2022-06-04T17:58,FAT_BURN,1
2022-06-04T17:59,FAT_BURN,1
2022-06-04T18:00,FAT_BURN,1
2022-06-04T18:01,FAT_BURN,1
2022-06-04T18:02,FAT_BURN,1
2022-06-04T18:03,FAT_BURN,1
2022-06-04T18:04,FAT_BURN,1
2022-06-04T18:05,FAT_BURN,1
2022-06-04T18:06,CARDIO,2
2022-06-04T18:07,CARDIO,2
2022-06-04T18:08,CARDIO,2
2022-06-04T18:09,FAT_BURN,1
2022-06-04T18:10,FAT_BURN,1
2022-06-04T18:11,CARDIO,2
2022-06-04T18:12,FAT_BURN,1
2022-06-04T18:13,FAT_BURN,1
