timestamp,average_value,lower_bound,upper_bound
2021-03-17T00:00:00Z,93.5,90.3,97.0
2021-03-18T00:00:00Z,94.2,89.5,97.8
2021-03-19T00:00:00Z,94.7,90.0,98.0
2021-03-27T00:00:00Z,93.7,90.9,97.1
2021-03-28T00:00:00Z,93.7,90.5,96.0
2021-03-29T00:00:00Z,93.9,91.9,96.3
2021-03-30T00:00:00Z,95.1,93.9,96.5
2021-03-31T00:00:00Z,96.1,93.3,98.8
2021-04-01T00:00:00Z,95.3,93.5,97.0
2021-04-02T00:00:00Z,94.7,91.5,97.5
2021-04-04T00:00:00Z,95.2,92.3,98.1
2021-04-05T00:00:00Z,94.5,91.9,96.6
2021-04-06T00:00:00Z,93.5,91.0,97.0
2021-04-07T00:00:00Z,95.3,92.5,97.6
2021-04-08T00:00:00Z,95.3,92.0,97.6
2021-04-09T00:00:00Z,94.0,91.5,95.8
2021-04-10T00:00:00Z,95.0,92.4,97.3
2021-04-11T00:00:00Z,91.0,90.4,93.6
2021-04-12T00:00:00Z,94.5,90.0,99.3
2021-04-13T00:00:00Z,95.8,95.8,97.0
2021-04-14T00:00:00Z,94.3,90.1,97.5
2021-04-15T00:00:00Z,93.3,90.5,96.1
2021-04-16T00:00:00Z,95.1,88.5,98.4
2021-04-17T00:00:00Z,94.4,91.6,96.6
2021-04-18T00:00:00Z,94.9,90.5,97.8
2021-04-19T00:00:00Z,92.5,88.5,95.6
2021-04-20T00:00:00Z,95.0,94.9,96.5
2021-04-21T00:00:00Z,91.9,90.5,95.3
2021-04-22T00:00:00Z,95.4,94.0,97.1
2021-04-23T00:00:00Z,95.1,91.6,97.6
2021-04-24T00:00:00Z,97.1,94.4,100.0
2021-04-25T00:00:00Z,94.2,90.6,96.5
2021-04-27T00:00:00Z,94.9,91.9,97.0
2021-04-28T00:00:00Z,94.3,90.1,97.4
2021-04-29T00:00:00Z,93.0,89.3,95.5
2021-04-30T00:00:00Z,93.3,83.0,98.1
2021-05-02T00:00:00Z,94.3,91.8,97.1
2021-05-03T00:00:00Z,94.9,91.3,99.3
2021-05-04T00:00:00Z,94.0,90.5,97.1
2021-05-05T00:00:00Z,96.3,92.5,98.5
2021-05-06T00:00:00Z,95.6,94.4,97.5
2021-05-07T00:00:00Z,94.7,93.4,96.1
2021-05-08T00:00:00Z,94.5,89.5,96.9
2021-05-09T00:00:00Z,93.7,93.6,95.5
2021-05-10T00:00:00Z,94.8,90.5,97.4
2021-05-12T00:00:00Z,93.1,90.6,96.8
2021-05-14T00:00:00Z,93.9,92.8,95.5
2021-05-15T00:00:00Z,94.6,93.4,96.4
2021-05-16T00:00:00Z,97.6,96.3,98.9
2021-05-17T00:00:00Z,95.1,94.4,96.4
2021-05-18T00:00:00Z,95.1,92.5,97.0
2021-05-19T00:00:00Z,95.3,91.4,98.0
2021-05-20T00:00:00Z,91.8,89.6,94.3
2021-05-21T00:00:00Z,94.9,92.3,96.9
2021-05-22T00:00:00Z,92.0,89.3,94.9
2021-05-23T00:00:00Z,94.3,90.6,97.6
2021-05-24T00:00:00Z,95.3,89.9,98.9
2021-05-25T00:00:00Z,93.5,84.9,98.5
2021-05-26T00:00:00Z,94.5,91.8,97.3
2021-05-27T00:00:00Z,94.4,94.4,94.5
2021-05-28T00:00:00Z,97.7,95.0,99.6
2021-05-30T00:00:00Z,95.9,93.3,98.5
2021-05-31T00:00:00Z,96.3,93.6,100.0
2021-06-01T00:00:00Z,95.7,92.3,98.5
2021-06-02T00:00:00Z,94.5,93.1,95.6
2021-06-03T00:00:00Z,94.7,91.0,98.0
2021-06-04T00:00:00Z,93.8,91.3,96.8
2021-06-05T00:00:00Z,93.0,89.1,98.3
2021-06-06T00:00:00Z,94.6,90.5,98.3
2021-06-07T00:00:00Z,90.3,85.6,93.0
2021-06-08T00:00:00Z,95.4,94.4,95.9
2021-06-09T00:00:00Z,90.8,87.5,94.1
2021-06-10T00:00:00Z,96.3,94.3,98.0
2021-06-11T00:00:00Z,94.8,93.3,97.6
2021-06-12T00:00:00Z,94.4,92.6,97.0
2021-06-13T00:00:00Z,93.9,89.3,97.3
2021-06-14T00:00:00Z,93.7,90.8,96.4
2021-06-15T00:00:00Z,94.3,92.6,96.5
2021-06-16T00:00:00Z,95.2,93.6,96.5
2021-06-17T00:00:00Z,94.8,93.0,96.8
2021-06-18T00:00:00Z,93.3,89.6,96.4
2021-06-19T00:00:00Z,94.3,93.4,95.4
2021-06-20T00:00:00Z,94.3,92.5,96.1
2021-06-21T00:00:00Z,97.2,96.1,98.4
2021-06-22T00:00:00Z,91.4,86.9,95.4
2021-06-23T00:00:00Z,94.7,90.6,97.9
2021-06-24T00:00:00Z,94.5,91.9,96.5
2021-06-25T00:00:00Z,93.9,93.6,94.6
