timestamp,average_value,lower_bound,upper_bound
2021-10-03T00:00:00Z,95.3,93.8,96.6
2021-10-04T00:00:00Z,95.3,93.5,97.5
2021-10-05T00:00:00Z,95.2,92.3,97.0
2021-10-06T00:00:00Z,93.7,90.0,98.1
2021-10-09T00:00:00Z,97.3,94.5,99.0
2021-10-10T00:00:00Z,94.8,91.8,98.0
2021-10-11T00:00:00Z,94.7,91.8,97.9
2021-10-12T00:00:00Z,95.2,92.6,98.4
2021-10-13T00:00:00Z,93.3,89.1,96.0
2021-10-14T00:00:00Z,95.2,92.1,98.4
2021-10-17T00:00:00Z,94.2,92.0,96.1
2021-10-18T00:00:00Z,95.9,95.0,96.9
2021-10-19T00:00:00Z,95.1,92.4,97.5
2021-10-21T00:00:00Z,96.0,93.0,97.9
2021-10-24T00:00:00Z,94.7,89.5,97.1
2021-10-27T00:00:00Z,94.5,93.0,96.0
2021-10-28T00:00:00Z,94.3,92.0,96.5
2021-11-01T00:00:00Z,94.5,89.5,98.1
2021-11-02T00:00:00Z,93.8,92.0,95.5
2021-11-03T00:00:00Z,96.4,95.1,97.6
2021-11-04T00:00:00Z,93.9,92.5,95.1
2021-11-07T00:00:00Z,94.2,91.5,97.3
2021-11-08T00:00:00Z,93.0,89.4,97.0
2021-11-09T00:00:00Z,94.6,88.8,97.5
2021-11-11T00:00:00Z,94.7,93.3,96.8
2021-11-12T00:00:00Z,94.1,90.5,96.9
2021-11-19T00:00:00Z,94.2,93.3,95.1
2021-11-20T00:00:00Z,93.8,90.9,96.9
2021-11-21T00:00:00Z,94.6,90.6,98.0
2021-11-22T00:00:00Z,95.5,92.8,99.5
2021-11-23T00:00:00Z,94.5,91.0,98.1
2021-11-25T00:00:00Z,94.7,93.0,96.5
2021-11-29T00:00:00Z,94.8,94.5,95.1
2021-12-04T00:00:00Z,96.1,93.1,100.0
2021-12-09T00:00:00Z,95.8,93.9,97.4
2021-12-23T00:00:00Z,94.0,89.5,96.5
2022-01-06T00:00:00Z,94.1,93.4,94.5
2022-01-07T00:00:00Z,95.8,94.4,97.0
2022-01-08T00:00:00Z,90.9,90.9,92.6
