timestamp,average_value,lower_bound,upper_bound
2020-12-07T00:00:00Z,93.1,93.0,94.0
2020-12-08T00:00:00Z,93.4,90.8,95.3
2020-12-09T00:00:00Z,94.4,93.0,96.0
2020-12-10T00:00:00Z,94.6,90.5,97.0
2020-12-11T00:00:00Z,96.2,94.4,97.1
2020-12-12T00:00:00Z,95.7,92.3,98.9
2020-12-13T00:00:00Z,94.2,89.9,97.0
2020-12-14T00:00:00Z,92.5,88.6,95.5
2020-12-15T00:00:00Z,94.1,90.5,97.4
2020-12-16T00:00:00Z,93.6,92.6,94.9
2020-12-17T00:00:00Z,95.4,93.8,97.0
2020-12-18T00:00:00Z,95.0,92.1,96.9
2020-12-19T00:00:00Z,92.3,85.5,96.6
2020-12-20T00:00:00Z,93.0,92.3,93.8
2020-12-21T00:00:00Z,93.6,91.0,96.5
2020-12-22T00:00:00Z,94.0,91.1,97.0
2020-12-23T00:00:00Z,94.2,91.6,96.6
2020-12-24T00:00:00Z,93.9,93.3,94.8
2020-12-25T00:00:00Z,93.3,91.5,94.1
2020-12-26T00:00:00Z,92.0,88.5,95.5
2020-12-27T00:00:00Z,94.2,91.6,97.5
2020-12-28T00:00:00Z,93.4,90.4,95.5
2020-12-29T00:00:00Z,93.9,89.5,96.9
2020-12-30T00:00:00Z,92.2,91.0,93.6
2020-12-31T00:00:00Z,93.9,90.1,98.5
2021-01-01T00:00:00Z,94.4,89.6,97.1
2021-01-02T00:00:00Z,92.7,92.4,93.4
2021-01-03T00:00:00Z,92.6,87.8,96.5
2021-01-04T00:00:00Z,94.8,91.3,97.6
2021-01-05T00:00:00Z,94.0,91.6,97.0
2021-01-06T00:00:00Z,92.0,88.6,94.6
2021-01-07T00:00:00Z,94.3,90.5,97.5
2021-01-08T00:00:00Z,95.5,93.5,96.9
2021-01-09T00:00:00Z,93.2,89.0,95.8
2021-01-10T00:00:00Z,94.5,93.1,96.3
2021-01-11T00:00:00Z,93.9,90.5,97.4
2021-01-12T00:00:00Z,93.8,92.0,95.9
2021-01-13T00:00:00Z,95.8,94.5,98.6
2021-01-14T00:00:00Z,95.2,93.0,100.0
2021-01-15T00:00:00Z,94.8,93.5,96.0
2021-01-16T00:00:00Z,93.1,89.4,95.1
2021-01-17T00:00:00Z,93.6,90.3,97.6
2021-01-18T00:00:00Z,93.0,88.5,95.3
2021-01-19T00:00:00Z,93.0,88.1,95.9
2021-01-20T00:00:00Z,93.0,89.1,96.8
2021-01-21T00:00:00Z,92.4,88.1,95.5
2021-01-22T00:00:00Z,94.6,93.0,96.0
2021-01-23T00:00:00Z,94.2,92.0,96.3
2021-01-24T00:00:00Z,94.4,93.0,96.5
2021-01-25T00:00:00Z,95.7,93.0,98.0
2021-01-26T00:00:00Z,95.1,92.9,99.1
2021-01-27T00:00:00Z,93.4,84.9,96.5
2021-01-28T00:00:00Z,95.2,93.9,97.1
2021-01-29T00:00:00Z,92.2,88.4,96.0
2021-01-30T00:00:00Z,94.3,91.1,98.0
2021-01-31T00:00:00Z,95.9,92.8,98.9
2021-02-01T00:00:00Z,95.7,93.1,98.3
2021-02-02T00:00:00Z,94.3,93.3,96.6
2021-02-03T00:00:00Z,94.6,94.1,95.3
2021-02-04T00:00:00Z,94.0,93.0,95.8
2021-02-05T00:00:00Z,94.3,92.8,96.1
2021-02-06T00:00:00Z,96.0,95.0,98.0
2021-02-07T00:00:00Z,95.4,89.9,100.0
2021-02-08T00:00:00Z,93.7,91.9,96.1
2021-02-09T00:00:00Z,95.1,93.5,97.6
2021-02-10T00:00:00Z,93.6,91.9,95.1
2021-02-11T00:00:00Z,95.2,93.1,96.5
2021-02-12T00:00:00Z,94.6,91.5,97.3
2021-02-13T00:00:00Z,94.2,89.6,97.3
2021-02-14T00:00:00Z,93.8,90.5,96.3
2021-02-15T00:00:00Z,93.6,90.5,96.0
2021-02-16T00:00:00Z,94.8,91.3,98.5
2021-02-17T00:00:00Z,95.2,93.9,97.1
2021-02-18T00:00:00Z,95.6,93.5,97.6
2021-02-19T00:00:00Z,95.0,92.6,97.0
2021-02-25T00:00:00Z,96.1,94.5,98.0
2021-02-26T00:00:00Z,94.0,92.1,95.8
2021-02-27T00:00:00Z,95.6,93.3,98.6
2021-02-28T00:00:00Z,94.5,91.0,96.8
2021-03-01T00:00:00Z,93.6,92.8,95.3
2021-03-02T00:00:00Z,91.7,88.8,94.8
2021-03-03T00:00:00Z,94.2,90.4,96.8
2021-03-04T00:00:00Z,94.2,93.4,95.1
2021-03-05T00:00:00Z,94.2,90.4,97.4
2021-03-06T00:00:00Z,94.1,91.9,96.5
2021-03-07T00:00:00Z,93.6,88.0,97.4
2021-03-08T00:00:00Z,94.7,91.6,97.4
2021-03-09T00:00:00Z,94.7,86.5,99.0
2021-03-10T00:00:00Z,93.9,89.1,97.5
2021-03-11T00:00:00Z,94.5,88.8,99.8
2021-03-12T00:00:00Z,92.6,89.5,95.8
2021-03-14T00:00:00Z,95.0,91.1,97.9
2021-03-15T00:00:00Z,93.5,91.0,95.6
2021-03-16T00:00:00Z,95.7,95.4,96.8
2021-03-17T00:00:00Z,93.5,90.3,97.0
