timestamp,average_value,lower_bound,upper_bound
2021-06-25T00:00:00Z,93.9,93.6,94.6
2021-06-26T00:00:00Z,93.3,90.5,96.0
2021-06-27T00:00:00Z,95.9,94.5,98.5
2021-06-28T00:00:00Z,93.7,91.6,95.5
2021-06-29T00:00:00Z,92.8,91.8,94.0
2021-06-30T00:00:00Z,93.2,91.6,95.8
2021-07-01T00:00:00Z,94.9,94.1,95.0
2021-07-02T00:00:00Z,95.2,93.0,97.5
2021-07-03T00:00:00Z,96.0,93.9,98.4
2021-07-04T00:00:00Z,95.0,91.9,100.0
2021-07-05T00:00:00Z,96.2,94.1,98.6
2021-07-06T00:00:00Z,93.1,86.8,97.0
2021-07-23T00:00:00Z,94.8,92.9,96.3
2021-07-24T00:00:00Z,95.2,93.6,96.4
2021-07-25T00:00:00Z,95.5,91.4,99.9
2021-07-27T00:00:00Z,96.0,95.4,96.4
2021-07-28T00:00:00Z,92.9,92.9,93.0
2021-07-30T00:00:00Z,94.4,92.9,97.1
2021-07-31T00:00:00Z,94.6,91.5,97.5
2021-08-01T00:00:00Z,94.5,92.6,96.5
2021-08-03T00:00:00Z,95.5,92.5,98.5
2021-08-04T00:00:00Z,94.6,92.1,96.6
2021-08-06T00:00:00Z,94.5,92.4,96.4
2021-08-07T00:00:00Z,93.7,91.0,96.8
2021-08-08T00:00:00Z,95.3,92.1,98.0
2021-08-09T00:00:00Z,94.8,93.0,95.4
2021-08-10T00:00:00Z,96.3,94.5,98.1
2021-08-13T00:00:00Z,93.3,91.5,94.8
2021-08-15T00:00:00Z,94.8,92.0,98.4
2021-08-16T00:00:00Z,94.7,92.0,97.0
2021-08-17T00:00:00Z,96.2,95.9,96.5
2021-08-18T00:00:00Z,95.1,93.5,96.5
2021-08-19T00:00:00Z,94.6,89.1,97.5
2021-08-20T00:00:00Z,93.2,90.8,96.3
2021-08-21T00:00:00Z,93.1,89.3,95.9
2021-08-23T00:00:00Z,94.3,91.4,96.9
2021-08-24T00:00:00Z,93.1,92.4,95.1
2021-08-25T00:00:00Z,95.4,94.5,96.6
2021-08-26T00:00:00Z,93.4,91.6,95.5
2021-08-27T00:00:00Z,95.0,92.8,96.6
2021-08-28T00:00:00Z,94.8,92.4,97.0
2021-08-29T00:00:00Z,95.6,93.9,97.4
2021-09-01T00:00:00Z,96.0,93.1,98.1
2021-09-02T00:00:00Z,93.7,92.5,94.5
2021-09-03T00:00:00Z,95.1,93.5,95.9
2021-09-04T00:00:00Z,95.3,94.0,96.8
2021-09-05T00:00:00Z,94.7,93.8,96.0
2021-09-06T00:00:00Z,95.1,94.5,96.6
2021-09-07T00:00:00Z,94.8,93.5,96.5
2021-09-09T00:00:00Z,94.3,94.3,94.5
2021-09-11T00:00:00Z,92.8,90.5,96.1
2021-09-12T00:00:00Z,93.3,89.3,96.5
2021-09-13T00:00:00Z,97.0,96.5,97.9
2021-09-14T00:00:00Z,94.2,92.1,95.9
2021-09-15T00:00:00Z,95.2,93.0,97.4
2021-09-16T00:00:00Z,95.2,93.0,97.5
2021-09-17T00:00:00Z,96.6,96.0,97.9
2021-09-21T00:00:00Z,95.5,93.3,97.5
2021-09-22T00:00:00Z,95.0,95.0,95.1
2021-09-23T00:00:00Z,95.0,94.1,95.9
2021-09-24T00:00:00Z,96.0,92.6,99.8
2021-09-25T00:00:00Z,94.6,92.1,98.8
2021-09-26T00:00:00Z,94.7,93.1,96.5
2021-09-27T00:00:00Z,94.2,92.6,96.5
2021-09-28T00:00:00Z,95.4,94.5,96.4
2021-09-29T00:00:00Z,93.8,90.9,95.4
2021-09-30T00:00:00Z,96.5,94.4,100.0
2021-10-03T00:00:00Z,95.3,93.8,96.6
