timestamp,Infrared to Red Signal Ratio
09/21/19 02:32:01,1
09/21/19 02:33:04,8
09/21/19 02:34:04,11
09/21/19 02:35:07,4
09/21/19 02:36:08,0
09/21/19 02:37:10,0
09/21/19 02:38:11,1
09/21/19 02:39:13,0
09/21/19 02:40:16,-1
09/21/19 02:41:17,0
09/21/19 02:42:18,-2
09/21/19 02:43:20,1
09/21/19 02:44:23,13
09/21/19 02:45:24,8
09/21/19 02:46:25,0
09/21/19 02:47:26,14
09/21/19 02:48:26,2
09/21/19 02:49:27,3
09/21/19 02:50:30,1
09/21/19 02:51:30,9
09/21/19 02:52:33,0
09/21/19 02:53:33,1
09/21/19 02:54:34,2
09/21/19 02:55:34,-2
09/21/19 02:56:35,-5
09/21/19 02:57:35,-6
09/21/19 02:58:36,5
09/21/19 02:59:38,0
09/21/19 03:00:39,4
09/21/19 03:01:40,19
09/21/19 03:02:40,0
09/21/19 03:03:41,-1
09/21/19 03:05:44,0
09/21/19 03:06:46,-6
09/21/19 03:07:47,4
09/21/19 03:08:48,-22
09/21/19 03:09:48,-3
09/21/19 03:10:49,-1
09/21/19 03:11:49,-1
09/21/19 03:12:52,-1
09/21/19 03:13:53,0
09/21/19 03:14:56,-1
09/21/19 03:15:58,-10
09/21/19 03:16:58,-6
09/21/19 03:18:00,-10
09/21/19 03:19:02,-8
09/21/19 03:20:04,-5
09/21/19 03:21:05,-1
09/21/19 03:22:07,-8
09/21/19 03:23:08,0
09/21/19 03:24:08,1
09/21/19 03:25:09,4
09/21/19 03:26:09,0
09/21/19 03:27:09,7
09/21/19 03:28:09,0
09/21/19 03:29:09,13
09/21/19 03:30:09,23
09/21/19 03:31:09,1
09/21/19 03:32:09,4
09/21/19 03:33:09,0
09/21/19 03:34:10,0
09/21/19 03:35:10,-2
09/21/19 03:36:11,-1
09/21/19 03:37:12,0
09/21/19 03:38:12,27
09/21/19 03:39:13,-1
09/21/19 03:40:13,0
09/21/19 03:41:13,-1
09/21/19 03:42:14,-2
09/21/19 03:43:14,0
09/21/19 03:44:15,-1
09/21/19 03:45:15,-2
09/21/19 03:46:18,0
09/21/19 03:47:18,-1
09/21/19 03:48:20,0
09/21/19 03:49:21,-4
09/21/19 03:50:22,-2
09/21/19 03:51:23,1
09/21/19 03:52:25,4
09/21/19 03:53:28,0
09/21/19 03:54:28,-4
09/21/19 03:55:30,0
09/21/19 03:56:31,0
09/21/19 03:57:32,4
09/21/19 03:58:33,5
09/21/19 03:59:33,29
09/21/19 04:00:35,-1
09/21/19 04:01:35,15
09/21/19 04:02:38,-19
09/21/19 04:03:39,-9
09/21/19 04:04:40,2
09/21/19 04:05:41,5
09/21/19 04:09:14,10
09/21/19 04:10:15,15
09/21/19 04:11:18,-2
09/21/19 04:12:20,1
09/21/19 04:13:23,0
09/21/19 04:14:23,-5
09/21/19 04:15:25,-1
09/21/19 04:16:25,-1
09/21/19 04:17:27,7
09/21/19 04:18:27,-7
09/21/19 04:19:30,14
09/21/19 04:20:31,11
09/21/19 04:21:33,-7
09/21/19 05:47:31,1
09/21/19 06:04:03,0
09/21/19 06:05:03,4
09/21/19 06:06:04,11
09/21/19 06:07:04,45
09/21/19 06:08:05,20
09/21/19 06:09:05,40
09/21/19 06:10:05,11
09/21/19 06:11:06,29
09/21/19 06:12:06,18
09/21/19 06:13:07,29
09/21/19 06:14:09,5
09/21/19 06:15:10,19
09/21/19 06:16:12,-1
09/21/19 06:17:12,15
09/21/19 06:18:15,11
09/21/19 06:19:15,16
09/21/19 06:20:17,0
09/21/19 06:21:19,6
09/21/19 06:22:19,1
09/21/19 06:23:23,20
09/21/19 06:24:23,0
09/21/19 06:25:26,10
09/21/19 06:26:26,3
09/21/19 06:27:28,11
09/21/19 06:28:29,10
09/21/19 06:29:30,14
09/21/19 06:30:31,13
09/21/19 06:31:34,8
09/21/19 06:32:35,1
09/21/19 06:33:35,6
09/21/19 06:34:36,7
09/21/19 06:35:37,7
09/21/19 06:36:37,0
09/21/19 06:37:38,20
09/21/19 06:38:38,8
09/21/19 06:39:39,-7
09/21/19 06:40:40,0
09/21/19 06:41:41,6
09/21/19 06:42:41,0
09/21/19 06:43:42,8
09/21/19 06:44:42,-5
09/21/19 06:45:42,0
09/21/19 06:46:42,2
09/21/19 06:47:42,6
09/21/19 06:48:43,-7
09/21/19 06:49:45,-1
09/21/19 06:50:45,5
09/21/19 06:51:47,4
09/21/19 06:52:47,-1
09/21/19 06:53:47,-2
09/21/19 06:54:47,1
09/21/19 06:55:47,-28
09/21/19 06:56:47,0
09/21/19 06:57:50,1
09/21/19 06:58:51,-1
09/21/19 06:59:51,-2
09/21/19 07:00:53,0
09/21/19 07:01:54,-2
09/21/19 07:02:54,1
09/21/19 07:03:55,-18
09/21/19 07:04:55,0
09/21/19 07:05:57,11
09/21/19 07:06:57,-1
09/21/19 07:07:59,-3
09/21/19 07:09:00,-1
09/21/19 07:10:01,-6
09/21/19 07:11:02,-7
09/21/19 07:12:03,-5
09/21/19 07:13:04,5
09/21/19 07:14:04,2
09/21/19 07:15:06,0
09/21/19 07:16:07,17
09/21/19 07:17:08,17
09/21/19 07:18:09,-1
09/21/19 07:19:10,-2
09/21/19 07:20:11,-1
09/21/19 07:21:11,4
09/21/19 07:22:12,-1
09/21/19 07:23:12,-5
09/21/19 07:24:14,0
09/21/19 07:25:14,0
09/21/19 07:26:15,0
09/21/19 07:27:15,11
09/21/19 07:28:21,-1
09/21/19 07:29:21,2
09/21/19 07:30:22,0
09/21/19 07:31:22,29
09/21/19 07:32:24,11
09/21/19 07:33:24,29
09/21/19 07:34:24,18
09/21/19 07:35:25,7
09/21/19 07:36:25,-29
09/21/19 07:37:27,-2
09/21/19 07:38:27,1
09/21/19 07:39:28,-8
09/21/19 07:40:28,36
09/21/19 07:41:29,13
09/21/19 07:42:29,0
09/21/19 07:43:29,0
09/21/19 07:44:29,2
09/21/19 07:45:29,0
09/21/19 07:46:30,-2
09/21/19 07:47:30,-1
09/21/19 07:48:30,-1
09/21/19 07:49:32,-1
09/21/19 07:50:32,10
09/21/19 07:51:32,17
09/21/19 07:52:32,0
09/21/19 07:53:34,1
09/21/19 07:54:34,3
09/21/19 07:55:36,-4
09/21/19 07:56:37,-2
09/21/19 07:57:38,-3
09/21/19 07:58:39,3
09/21/19 07:59:40,0
09/21/19 08:00:41,2
09/21/19 08:01:42,0
09/21/19 08:02:42,19
09/21/19 08:03:43,12
09/21/19 08:04:43,8
09/21/19 08:05:45,2
09/21/19 08:06:46,-1
09/21/19 08:07:47,14
09/21/19 08:08:48,-1
09/21/19 08:09:49,0
09/21/19 08:10:50,-1
09/21/19 08:11:51,1
09/21/19 08:12:52,-6
09/21/19 08:13:53,-1
09/21/19 08:14:54,4
09/21/19 08:15:55,0
09/21/19 08:16:56,0
09/21/19 08:17:59,0
09/21/19 08:18:59,-4
09/21/19 08:20:02,-6
09/21/19 08:21:02,-9
09/21/19 08:22:04,39
09/21/19 08:23:06,0
09/21/19 08:24:07,1
09/21/19 08:25:07,0
09/21/19 08:26:07,2
09/21/19 08:27:09,-1
09/21/19 08:28:09,0
09/21/19 08:29:09,2
09/21/19 08:30:09,-1
09/21/19 08:31:09,-3
09/21/19 08:32:09,-6
09/21/19 08:33:09,-1
09/21/19 08:34:09,-19
09/21/19 08:35:09,4
09/21/19 08:36:09,-8
09/21/19 08:37:09,0
09/21/19 08:38:09,1
09/21/19 08:39:09,-1
09/21/19 08:40:10,-4
09/21/19 08:41:11,20
09/21/19 08:42:11,4
09/21/19 08:43:12,2
09/21/19 08:44:13,26
09/21/19 08:45:14,-34
09/21/19 08:46:15,2
09/21/19 08:47:15,1
09/21/19 08:48:17,-44
