timestamp,Infrared to Red Signal Ratio
07/02/22 13:03:00,0
07/02/22 13:04:00,-17
07/02/22 13:05:00,0
07/02/22 13:06:00,6
07/02/22 13:07:00,0
07/02/22 13:08:00,46
07/02/22 13:09:00,16
07/02/22 13:10:00,17
07/02/22 13:11:00,0
07/02/22 13:12:00,3
07/02/22 13:13:00,-2
07/02/22 13:14:00,31
07/02/22 13:15:00,0
07/02/22 13:16:00,0
07/02/22 13:17:00,0
07/02/22 13:18:00,36
07/02/22 13:19:00,0
07/02/22 13:20:00,0
07/02/22 13:21:00,-5
07/02/22 13:22:00,0
07/02/22 13:23:00,3
07/02/22 13:24:00,13
07/02/22 13:25:00,-4
07/02/22 13:26:00,-10
07/02/22 13:27:00,0
07/02/22 13:28:00,0
07/02/22 13:29:00,-32
07/02/22 13:30:00,0
07/02/22 13:31:00,-2
07/02/22 13:32:00,0
07/02/22 13:33:00,-6
