timestamp,Infrared to Red Signal Ratio
04/21/21 04:07:30,28
04/21/21 04:08:30,-33
04/21/21 04:09:30,-4
04/21/21 04:10:30,-41
04/21/21 04:11:30,-1
04/21/21 04:12:30,-12
04/21/21 04:13:30,-4
04/21/21 04:14:30,31
04/21/21 04:15:30,-5
04/21/21 04:16:30,-29
04/21/21 04:17:30,-4
04/21/21 04:18:30,0
04/21/21 04:19:30,0
04/21/21 04:20:30,-4
04/21/21 04:21:30,7
04/21/21 04:22:30,-17
04/21/21 04:23:30,0
04/21/21 04:24:30,18
04/21/21 04:25:30,0
04/21/21 04:26:30,0
04/21/21 04:27:30,0
04/21/21 04:28:30,9
04/21/21 04:29:30,-5
04/21/21 04:30:30,56
04/21/21 04:31:30,11
04/21/21 04:32:30,43
04/21/21 04:33:30,52
04/21/21 04:34:30,38
04/21/21 04:35:31,21
04/21/21 04:36:31,1
04/21/21 04:37:31,4
04/21/21 04:38:31,-3
04/21/21 04:39:31,4
04/21/21 04:40:31,36
04/21/21 04:41:31,13
04/21/21 04:42:31,4
04/21/21 04:43:31,21
04/21/21 04:44:31,52
04/21/21 04:45:31,26
04/21/21 04:46:31,22
04/21/21 04:47:31,17
04/21/21 04:48:31,30
04/21/21 04:49:31,34
04/21/21 04:50:31,2
04/21/21 04:51:31,5
04/21/21 04:52:31,9
04/21/21 04:53:31,44
04/21/21 04:54:31,19
04/21/21 04:55:31,8
04/21/21 04:56:31,21
04/21/21 04:57:31,8
04/21/21 04:58:31,23
04/21/21 04:59:31,-2
04/21/21 05:00:31,17
04/21/21 05:01:31,-24
04/21/21 05:02:31,13
04/21/21 05:03:31,-3
04/21/21 05:04:31,25
04/21/21 05:05:31,0
04/21/21 05:06:31,-36
04/21/21 05:07:31,27
04/21/21 05:08:31,-8
04/21/21 05:09:31,-52
04/21/21 05:10:31,-2
04/21/21 05:11:31,-4
04/21/21 05:12:31,-79
04/21/21 05:13:32,-3
04/21/21 05:14:32,17
04/21/21 05:15:32,-50
