timestamp,Infrared to Red Signal Ratio
08/24/19 00:42:32,4
08/24/19 01:31:31,10
08/24/19 01:32:31,-1
08/24/19 01:33:31,3
08/24/19 01:34:31,-1
08/24/19 01:42:02,3
08/24/19 01:43:02,-29
08/24/19 01:44:02,-6
08/24/19 01:45:02,-13
08/24/19 01:46:02,-2
08/24/19 01:47:02,-7
08/24/19 01:48:02,-21
08/24/19 01:49:02,-24
08/24/19 01:50:02,-32
08/24/19 01:51:02,-26
08/24/19 01:52:02,-14
08/24/19 01:53:02,10
08/24/19 01:54:02,-2
08/24/19 01:55:02,-3
08/24/19 01:56:02,-23
08/24/19 01:57:02,-1
08/24/19 01:58:02,-1
08/24/19 01:59:03,0
08/24/19 02:00:03,-8
08/24/19 02:01:03,21
08/24/19 02:02:03,-4
08/24/19 02:03:03,13
08/24/19 02:04:03,0
08/24/19 02:05:03,-3
08/24/19 02:06:03,4
08/24/19 02:07:03,0
08/24/19 02:08:03,-2
08/24/19 02:09:04,2
08/24/19 02:10:04,-8
08/24/19 02:11:04,1
08/24/19 02:12:04,-1
08/24/19 02:13:04,-1
08/24/19 02:14:04,-1
08/24/19 02:15:04,-10
08/24/19 02:16:05,-1
08/24/19 02:17:05,3
08/24/19 02:18:05,-11
08/24/19 02:19:05,3
08/24/19 02:20:05,0
08/24/19 02:21:05,5
08/24/19 02:22:05,-2
08/24/19 02:23:05,-3
08/24/19 02:24:05,0
08/24/19 02:25:05,0
08/24/19 02:26:05,-1
08/24/19 02:27:05,0
08/24/19 02:28:05,0
08/24/19 02:29:05,-1
08/24/19 02:30:05,-17
08/24/19 02:31:05,1
08/24/19 02:32:05,0
08/24/19 02:33:06,-1
08/24/19 02:34:06,-4
08/24/19 02:35:06,-23
08/24/19 02:36:06,-26
08/24/19 02:37:06,-5
08/24/19 02:38:06,-3
08/24/19 02:39:06,-1
08/24/19 02:40:06,-2
08/24/19 02:41:06,-3
08/24/19 02:42:06,-25
08/24/19 02:43:06,-10
08/24/19 02:44:06,10
08/24/19 02:45:06,60
08/24/19 02:46:06,1
08/24/19 02:47:06,8
08/24/19 02:48:06,3
08/24/19 02:49:06,0
08/24/19 02:50:07,21
08/24/19 02:51:07,0
08/24/19 02:52:07,5
08/24/19 02:53:07,0
08/24/19 02:54:07,0
08/24/19 02:55:07,-17
08/24/19 02:56:07,-2
08/24/19 02:57:07,6
08/24/19 02:58:07,0
08/24/19 02:59:07,4
08/24/19 03:00:07,-2
08/24/19 03:01:07,13
08/24/19 03:02:07,-1
08/24/19 03:03:07,7
08/24/19 03:04:09,4
08/24/19 03:05:09,14
08/24/19 03:06:09,11
08/24/19 03:07:10,10
08/24/19 03:08:11,0
08/24/19 03:09:11,-1
08/24/19 03:10:11,0
08/24/19 03:11:11,0
08/24/19 03:12:11,1
08/24/19 03:13:11,23
08/24/19 03:14:11,4
08/24/19 03:15:11,1
08/24/19 03:16:11,-1
08/24/19 03:17:11,1
08/24/19 03:18:11,-2
08/24/19 03:19:11,-4
08/24/19 03:20:11,3
08/24/19 03:21:11,0
08/24/19 03:22:11,-2
08/24/19 03:23:11,-7
08/24/19 03:24:12,1
08/24/19 03:25:12,1
08/24/19 03:26:12,1
08/24/19 03:27:12,1
08/24/19 03:28:12,0
08/24/19 03:29:12,-1
08/24/19 03:30:12,0
08/24/19 03:31:12,2
08/24/19 03:32:12,5
08/24/19 03:33:12,2
08/24/19 03:34:12,-1
08/24/19 03:35:12,2
08/24/19 03:36:12,0
08/24/19 03:37:12,-3
08/24/19 03:38:12,-1
08/24/19 03:39:12,0
08/24/19 03:40:12,-2
08/24/19 03:41:13,-9
08/24/19 03:42:13,-18
08/24/19 03:43:13,0
08/24/19 03:44:13,-1
08/24/19 03:45:13,2
08/24/19 03:46:13,-8
08/24/19 03:47:13,-1
08/24/19 03:48:13,0
08/24/19 03:49:13,4
08/24/19 03:50:13,0
08/24/19 03:51:13,0
08/24/19 03:52:13,-4
08/24/19 03:53:13,0
08/24/19 03:54:13,2
08/24/19 03:55:13,-2
08/24/19 03:56:13,0
08/24/19 03:57:13,-2
08/24/19 03:58:14,-16
08/24/19 03:59:14,0
08/24/19 04:00:15,-9
08/24/19 04:01:15,-5
08/24/19 04:02:15,-11
08/24/19 04:03:15,0
08/24/19 04:04:15,0
08/24/19 04:05:15,0
08/24/19 04:06:15,25
08/24/19 04:07:15,-2
08/24/19 04:08:15,-1
08/24/19 04:09:15,0
08/24/19 04:10:15,15
08/24/19 04:11:15,-26
08/24/19 04:12:15,19
08/24/19 04:13:15,1
08/24/19 04:14:15,-11
08/24/19 04:15:16,0
08/24/19 04:16:16,-1
08/24/19 04:17:16,-17
08/24/19 04:18:17,0
08/24/19 04:19:17,-3
08/24/19 04:20:17,-20
08/24/19 04:21:17,0
08/24/19 04:22:17,-2
08/24/19 04:23:17,-3
08/24/19 04:24:17,-1
08/24/19 04:25:17,-5
08/24/19 04:26:18,-12
08/24/19 04:27:18,2
08/24/19 04:28:18,-6
08/24/19 04:29:19,-1
08/24/19 04:30:19,-2
08/24/19 04:31:19,-1
08/24/19 04:32:20,-2
08/24/19 04:33:20,-13
08/24/19 04:34:20,1
08/24/19 04:35:20,1
08/24/19 04:36:20,-6
08/24/19 04:37:20,-5
08/24/19 04:38:20,17
08/24/19 04:39:20,-28
08/24/19 04:40:20,-3
08/24/19 04:41:20,0
08/24/19 04:42:20,-1
08/24/19 04:43:20,3
08/24/19 04:44:20,0
08/24/19 04:45:20,-2
08/24/19 04:46:20,17
08/24/19 04:47:20,-1
08/24/19 04:48:20,-2
08/24/19 04:49:21,10
08/24/19 04:50:21,26
08/24/19 04:51:21,4
08/24/19 04:52:21,5
08/24/19 04:53:21,59
08/24/19 04:54:21,0
08/24/19 04:55:21,-5
08/24/19 04:56:21,-1
08/24/19 04:57:21,8
08/24/19 04:58:21,1
08/24/19 04:59:21,0
08/24/19 05:00:21,-22
08/24/19 05:01:21,0
08/24/19 05:02:21,-5
08/24/19 05:03:21,7
08/24/19 05:04:21,-5
08/24/19 05:05:21,15
08/24/19 05:06:22,64
08/24/19 05:07:22,61
08/24/19 05:08:22,11
