timestamp,Infrared to Red Signal Ratio
03/23/22 07:13:30,0
03/23/22 07:14:30,0
03/23/22 07:15:30,-4
03/23/22 07:16:30,7
03/23/22 07:17:30,-4
03/23/22 07:18:30,0
03/23/22 07:19:30,-45
03/23/22 07:20:30,3
03/23/22 07:21:30,-8
03/23/22 07:22:30,-8
03/23/22 07:23:30,0
03/23/22 07:24:30,42
03/23/22 07:25:30,-26
03/23/22 07:26:31,47
03/23/22 07:27:31,-4
03/23/22 07:28:31,2
03/23/22 07:29:31,5
03/23/22 07:30:31,8
03/23/22 07:31:31,-1
03/23/22 07:32:31,-43
03/23/22 07:33:31,9
03/23/22 07:34:31,16
03/23/22 07:35:31,1
03/23/22 07:36:31,0
03/23/22 07:37:31,4
03/23/22 07:38:31,-36
03/23/22 07:39:31,0
03/23/22 07:40:31,0
03/23/22 07:41:31,0
03/23/22 07:42:31,34
03/23/22 07:43:31,0
03/23/22 07:44:31,1
03/23/22 07:45:31,0
03/23/22 07:46:31,0
03/23/22 07:47:31,4
03/23/22 08:47:30,0
03/23/22 08:48:30,0
03/23/22 08:49:30,-1
03/23/22 08:50:30,4
03/23/22 08:51:30,0
03/23/22 08:52:30,47
03/23/22 08:53:30,17
03/23/22 08:54:30,6
03/23/22 08:55:30,-18
03/23/22 08:56:30,0
03/23/22 08:57:30,0
03/23/22 08:58:30,-7
03/23/22 08:59:30,0
03/23/22 09:00:30,0
03/23/22 09:01:30,2
03/23/22 09:02:30,-3
03/23/22 09:03:30,-4
03/23/22 09:04:30,1
03/23/22 09:05:30,4
03/23/22 09:06:30,0
03/23/22 09:07:30,4
03/23/22 09:08:31,-12
03/23/22 09:09:31,0
03/23/22 09:10:31,2
03/23/22 09:11:31,-2
03/23/22 09:12:31,25
03/23/22 09:13:31,8
03/23/22 09:14:31,0
03/23/22 09:15:31,0
03/23/22 09:16:31,0
03/23/22 09:17:31,-4
03/23/22 09:18:31,0
03/23/22 09:19:31,0
03/23/22 09:20:31,0
03/23/22 09:21:31,0
03/23/22 09:22:31,2
03/23/22 09:23:31,19
03/23/22 09:24:31,-13
03/23/22 09:25:31,4
03/23/22 09:26:31,3
03/23/22 09:27:31,-9
03/23/22 09:28:31,0
03/23/22 09:29:31,1
03/23/22 09:30:31,2
03/23/22 09:31:31,35
03/23/22 09:32:31,0
03/23/22 09:33:31,-14
03/23/22 09:34:31,0
03/23/22 09:35:31,1
03/23/22 09:36:31,0
03/23/22 09:37:31,12
03/23/22 09:38:31,-4
03/23/22 09:39:31,-1
03/23/22 09:40:31,-16
03/23/22 09:41:31,14
03/23/22 09:42:31,47
03/23/22 09:43:31,-32
03/23/22 09:44:31,0
03/23/22 09:45:31,16
03/23/22 09:46:31,0
03/23/22 09:47:31,50
03/23/22 09:48:31,2
03/23/22 09:49:31,6
03/23/22 09:50:31,54
03/23/22 09:51:31,0
03/23/22 09:52:31,-13
03/23/22 09:53:31,-30
03/23/22 09:54:31,0
03/23/22 09:55:31,0
03/23/22 09:56:31,-16
03/23/22 09:57:31,-15
03/23/22 09:58:31,13
03/23/22 09:59:31,56
03/23/22 10:00:31,0
03/23/22 10:01:31,1
03/23/22 10:02:31,-4
03/23/22 10:03:31,0
03/23/22 10:04:31,0
03/23/22 10:05:31,-10
03/23/22 10:06:31,-30
03/23/22 10:07:32,0
03/23/22 10:08:32,7
03/23/22 10:09:32,-4
03/23/22 10:10:32,6
03/23/22 10:11:32,-10
03/23/22 10:12:32,0
03/23/22 10:13:32,-3
03/23/22 10:14:32,-5
03/23/22 10:15:32,0
03/23/22 10:16:32,0
03/23/22 10:17:32,0
03/23/22 10:18:32,0
03/23/22 10:19:32,1
03/23/22 10:20:32,-69
03/23/22 10:21:32,-16
03/23/22 10:22:32,0
03/23/22 10:23:32,-21
03/23/22 10:24:32,0
03/23/22 10:25:32,-1
03/23/22 10:26:32,-7
03/23/22 10:27:32,28
03/23/22 10:28:34,-2
03/23/22 10:29:34,-12
03/23/22 10:30:34,-69
03/23/22 10:31:34,0
03/23/22 10:32:34,4
03/23/22 10:33:34,3
03/23/22 10:34:34,-15
03/23/22 10:35:34,-11
03/23/22 10:36:34,17
03/23/22 10:37:34,0
03/23/22 10:38:34,4
03/23/22 10:39:34,13
03/23/22 10:40:34,11
03/23/22 10:41:34,3
03/23/22 10:42:34,0
03/23/22 10:43:34,0
03/23/22 10:44:34,-13
03/23/22 10:45:34,39
03/23/22 10:46:34,0
03/23/22 10:47:34,0
03/23/22 10:48:34,-23
03/23/22 10:49:34,28
03/23/22 10:50:34,-4
03/23/22 10:51:34,10
03/23/22 10:52:34,-11
03/23/22 10:53:34,9
03/23/22 10:54:34,8
03/23/22 10:55:34,-6
03/23/22 10:56:34,0
03/23/22 10:57:34,-27
03/23/22 10:58:34,16
03/23/22 10:59:34,-11
03/23/22 11:00:34,5
03/23/22 11:01:34,-8
03/23/22 11:02:34,33
03/23/22 11:03:34,0
03/23/22 11:04:34,0
03/23/22 11:05:34,0
03/23/22 11:06:34,0
03/23/22 11:07:34,-7
03/23/22 11:08:34,-14
03/23/22 11:09:34,17
03/23/22 11:10:34,-7
03/23/22 11:11:34,12
03/23/22 11:12:34,-27
03/23/22 11:13:34,-2
03/23/22 11:14:34,-8
03/23/22 11:15:34,-21
03/23/22 11:16:34,0
03/23/22 11:17:34,35
03/23/22 11:18:34,28
03/23/22 11:19:34,0
03/23/22 11:20:34,0
03/23/22 11:21:34,-4
03/23/22 11:22:34,6
03/23/22 11:23:34,5
03/23/22 11:24:34,6
03/23/22 11:25:34,-2
