timestamp,Infrared to Red Signal Ratio
10/24/20 01:43:31,22
10/24/20 04:09:31,15
10/24/20 04:10:30,-9
10/24/20 04:11:31,-1
10/24/20 04:12:31,-1
10/24/20 04:13:31,-3
10/24/20 04:14:31,-1
10/24/20 04:15:30,-1
10/24/20 04:16:30,0
10/24/20 04:17:31,-2
10/24/20 04:18:31,-7
10/24/20 04:19:31,0
10/24/20 04:20:31,0
10/24/20 04:21:30,12
10/24/20 04:22:31,12
10/24/20 04:23:31,1
10/24/20 04:24:31,0
10/24/20 04:25:32,6
10/24/20 04:26:33,1
10/24/20 04:27:33,-1
10/24/20 04:28:33,4
10/24/20 04:29:32,7
10/24/20 04:30:33,8
10/24/20 04:31:33,0
10/24/20 04:32:33,10
10/24/20 04:33:34,14
10/24/20 04:34:33,-2
10/24/20 04:35:34,-2
10/24/20 04:36:34,1
10/24/20 04:37:34,2
10/24/20 04:38:33,13
10/24/20 04:39:33,0
10/24/20 04:40:34,-21
10/24/20 04:41:34,20
10/24/20 04:42:34,-3
10/24/20 04:43:33,-15
10/24/20 04:44:34,12
10/24/20 04:45:34,-1
10/24/20 04:46:34,-15
10/24/20 04:47:33,-2
10/24/20 04:48:33,0
10/24/20 04:49:36,3
10/24/20 04:50:36,1
10/24/20 04:51:36,8
10/24/20 04:52:35,-6
10/24/20 04:53:35,4
10/24/20 04:54:36,0
10/24/20 04:55:36,0
10/24/20 04:56:36,-3
10/24/20 04:57:35,5
10/24/20 04:58:36,1
10/24/20 04:59:36,14
10/24/20 05:00:36,15
10/24/20 05:01:35,0
10/24/20 05:02:35,-23
10/24/20 05:03:36,-4
10/24/20 05:04:36,-13
10/24/20 05:05:36,15
10/24/20 05:06:35,0
10/24/20 05:07:36,-26
10/24/20 05:08:36,-3
10/24/20 05:09:36,-29
10/24/20 05:10:35,-30
10/24/20 05:11:35,-41
10/24/20 05:12:36,5
10/24/20 05:13:36,30
10/24/20 05:14:36,5
10/24/20 05:15:35,-3
10/24/20 05:16:36,2
10/24/20 05:17:36,-1
10/24/20 05:18:36,-46
10/24/20 05:19:36,-27
10/24/20 05:20:35,-6
10/24/20 05:21:36,-1
10/24/20 05:22:36,0
10/24/20 05:23:36,8
10/24/20 05:24:36,77
10/24/20 05:25:35,0
10/24/20 05:26:36,-5
10/24/20 05:27:36,2
10/24/20 05:28:36,-70
10/24/20 05:29:36,36
10/24/20 05:30:35,24
10/24/20 05:31:36,-47
10/24/20 05:32:36,-9
10/24/20 05:33:36,10
10/24/20 05:34:36,-1
10/24/20 05:35:35,-5
10/24/20 05:36:36,1
10/24/20 05:37:36,2
10/24/20 05:38:36,-19
10/24/20 05:39:36,-8
10/24/20 05:40:35,-5
10/24/20 05:41:36,-12
10/24/20 05:42:36,-1
10/24/20 05:43:36,-1
10/24/20 05:44:35,0
10/24/20 05:45:35,-11
10/24/20 05:46:36,-11
10/24/20 05:47:36,-1
10/24/20 05:48:36,-5
10/24/20 05:49:35,-4
10/24/20 05:50:36,0
10/24/20 05:51:36,-18
10/24/20 05:52:36,-1
10/24/20 05:53:36,27
10/24/20 05:54:35,-4
10/24/20 05:55:36,-5
10/24/20 05:56:36,-8
10/24/20 05:57:36,-4
10/24/20 05:58:36,-13
10/24/20 05:59:35,-5
10/24/20 06:00:36,-3
10/24/20 06:01:36,-5
10/24/20 06:02:36,2
10/24/20 06:03:35,-1
10/24/20 06:04:35,-29
10/24/20 06:05:36,-6
10/24/20 06:06:36,52
10/24/20 06:07:36,37
10/24/20 06:08:35,50
10/24/20 06:09:36,37
10/24/20 06:10:36,66
10/24/20 06:11:36,-3
10/24/20 06:12:36,21
10/24/20 06:13:35,-1
10/24/20 06:14:35,46
10/24/20 06:15:36,-12
10/24/20 06:16:36,12
10/24/20 06:17:36,-6
10/24/20 06:18:35,6
10/24/20 06:19:35,-1
10/24/20 06:20:37,-18
10/24/20 06:21:37,-4
10/24/20 06:22:38,2
10/24/20 06:23:38,2
10/24/20 06:24:37,1
10/24/20 06:25:38,1
10/24/20 06:26:38,-2
10/24/20 06:27:38,6
10/24/20 06:28:38,-1
10/24/20 06:29:37,1
10/24/20 06:30:37,-1
10/24/20 06:31:38,11
10/24/20 06:32:38,16
10/24/20 06:33:38,-45
10/24/20 06:34:37,-1
10/24/20 06:35:37,-2
10/24/20 06:36:38,-16
10/24/20 06:37:38,1
10/24/20 06:38:38,-5
10/24/20 06:39:38,-15
10/24/20 06:40:37,-7
10/24/20 06:41:38,-4
10/24/20 06:42:38,-7
10/24/20 06:43:38,-1
10/24/20 06:44:38,6
10/24/20 06:45:37,-2
10/24/20 06:46:38,10
10/24/20 06:47:38,0
10/24/20 06:48:38,6
10/24/20 06:49:38,-1
10/24/20 06:50:37,0
10/24/20 06:51:38,0
10/24/20 06:52:38,-26
10/24/20 06:53:38,0
10/24/20 06:54:38,7
10/24/20 06:55:37,29
10/24/20 06:56:38,3
10/24/20 06:57:38,5
10/24/20 06:58:38,2
10/24/20 06:59:38,-1
10/24/20 07:00:37,0
10/24/20 07:01:38,-2
10/24/20 07:02:38,5
10/24/20 07:03:38,10
10/24/20 07:04:38,0
10/24/20 07:05:37,14
10/24/20 07:06:38,3
10/24/20 07:07:38,8
10/24/20 07:08:38,7
10/24/20 07:09:38,2
10/24/20 07:10:37,0
10/24/20 07:11:38,-1
10/24/20 07:12:38,-25
10/24/20 07:13:38,14
10/24/20 07:14:37,-1
10/24/20 07:15:37,0
10/24/20 07:16:38,-1
10/24/20 07:17:38,-10
10/24/20 07:18:38,-8
10/24/20 07:19:37,4
10/24/20 07:20:37,-2
10/24/20 07:21:39,14
10/24/20 07:22:39,-7
10/24/20 07:23:39,-1
10/24/20 07:24:38,8
10/24/20 07:25:39,0
10/24/20 07:26:39,-1
10/24/20 07:27:39,2
10/24/20 07:28:39,-2
10/24/20 07:29:38,-2
10/24/20 07:30:39,-8
