timestamp,Infrared to Red Signal Ratio
07/28/21 06:30:00,0
07/28/21 06:31:00,12
07/28/21 06:32:00,-17
07/28/21 06:33:00,9
07/28/21 06:34:00,-4
07/28/21 06:35:00,8
07/28/21 06:36:00,-6
07/28/21 06:37:00,32
07/28/21 06:38:00,-6
07/28/21 06:39:01,6
07/28/21 06:40:01,4
07/28/21 06:41:01,-4
07/28/21 06:42:01,-35
07/28/21 06:43:01,0
07/28/21 06:44:01,-47
07/28/21 06:45:01,-5
07/28/21 06:46:01,-6
07/28/21 06:47:01,52
07/28/21 06:48:01,-4
07/28/21 06:49:01,-18
07/28/21 06:50:01,4
07/28/21 06:51:01,-5
07/28/21 06:52:01,-8
07/28/21 06:53:01,1
07/28/21 06:54:01,-7
07/28/21 06:55:01,0
07/28/21 06:56:01,9
07/28/21 06:57:02,9
07/28/21 06:58:02,-32
07/28/21 06:59:02,10
07/28/21 07:00:02,-4
07/28/21 07:01:02,-32
07/28/21 07:02:02,24
07/28/21 07:03:02,2
07/28/21 07:04:02,0
07/28/21 07:05:02,0
07/28/21 07:06:02,-4
07/28/21 07:07:02,0
07/28/21 07:08:02,-2
07/28/21 07:09:02,12
07/28/21 07:10:02,0
07/28/21 07:11:02,0
07/28/21 07:12:02,-1
07/28/21 07:13:02,-1
07/28/21 07:14:02,0
07/28/21 07:15:02,-49
07/28/21 07:16:02,0
07/28/21 07:17:02,-25
07/28/21 07:18:02,0
07/28/21 07:19:02,8
07/28/21 07:20:02,12
07/28/21 07:21:02,8
07/28/21 07:22:02,-1
07/28/21 07:23:02,0
07/28/21 07:24:02,0
07/28/21 07:25:02,0
07/28/21 07:26:02,0
07/28/21 07:27:02,0
07/28/21 07:28:02,0
07/28/21 07:29:02,0
07/28/21 07:30:02,0
07/28/21 07:31:02,0
07/28/21 07:32:02,43
07/28/21 07:33:02,17
07/28/21 07:34:02,0
07/28/21 07:35:02,0
07/28/21 07:36:02,3
07/28/21 07:37:02,13
07/28/21 07:38:02,0
07/28/21 07:39:02,0
07/28/21 07:40:02,0
07/28/21 07:41:02,0
07/28/21 07:42:02,0
07/28/21 07:43:02,0
07/28/21 07:44:02,0
07/28/21 07:45:02,25
07/28/21 07:46:02,-33
07/28/21 07:47:02,-59
07/28/21 07:48:02,0
07/28/21 07:49:02,-2
07/28/21 07:50:02,-5
07/28/21 07:51:02,0
07/28/21 07:52:02,0
07/28/21 07:53:02,0
07/28/21 07:54:02,-1
07/28/21 07:55:02,-8
07/28/21 07:56:02,-25
07/28/21 07:57:02,3
07/28/21 07:58:02,17
07/28/21 07:59:02,0
07/28/21 08:00:02,-22
07/28/21 08:01:02,-4
07/28/21 08:02:02,2
07/28/21 08:03:02,18
07/28/21 08:04:02,30
07/28/21 08:05:02,3
07/28/21 08:06:02,-25
07/28/21 08:07:02,-31
07/28/21 08:08:02,5
07/28/21 08:09:02,-47
07/28/21 08:10:02,-21
07/28/21 08:11:02,-20
