timestamp,Infrared to Red Signal Ratio
04/19/21 02:29:30,8
04/19/21 02:30:30,0
04/19/21 02:31:30,5
04/19/21 02:32:30,-4
04/19/21 02:33:30,3
04/19/21 02:34:30,0
04/19/21 02:35:30,0
04/19/21 02:36:30,3
04/19/21 02:37:30,2
04/19/21 02:38:30,1
04/19/21 02:39:30,1
04/19/21 02:40:30,-2
04/19/21 02:41:30,0
04/19/21 02:42:30,1
04/19/21 02:43:30,3
04/19/21 02:44:30,0
04/19/21 02:45:30,0
04/19/21 02:46:30,-3
04/19/21 02:47:30,19
04/19/21 02:48:30,-1
04/19/21 02:49:30,-3
04/19/21 02:50:30,-6
04/19/21 02:51:30,51
04/19/21 02:52:30,-4
04/19/21 02:53:30,-12
04/19/21 02:54:30,-10
04/19/21 02:55:30,3
04/19/21 02:56:30,-48
04/19/21 02:57:30,-25
04/19/21 02:58:30,-3
04/19/21 02:59:31,-8
04/19/21 03:00:31,3
04/19/21 03:01:31,0
04/19/21 03:02:31,0
04/19/21 03:03:31,5
04/19/21 03:04:31,0
04/19/21 03:05:31,-13
04/19/21 03:06:31,0
04/19/21 03:07:31,4
04/19/21 03:08:31,3
04/19/21 03:09:31,0
04/19/21 03:10:31,-2
04/19/21 03:11:31,23
04/19/21 03:12:31,43
04/19/21 03:13:31,35
04/19/21 03:14:31,56
04/19/21 03:15:31,55
04/19/21 03:16:31,-17
04/19/21 03:17:32,0
04/19/21 03:18:32,0
04/19/21 03:19:32,0
04/19/21 03:20:32,0
04/19/21 03:21:32,0
04/19/21 03:22:32,0
04/19/21 03:23:32,-7
04/19/21 03:24:32,0
04/19/21 03:25:32,-33
04/19/21 03:26:32,29
04/19/21 03:27:32,-6
04/19/21 03:28:32,0
04/19/21 03:29:32,-4
04/19/21 03:30:32,1
04/19/21 03:31:32,-32
04/19/21 03:32:32,5
04/19/21 03:33:32,0
04/19/21 03:34:32,4
04/19/21 03:35:34,-4
04/19/21 03:36:34,-19
04/19/21 03:37:34,-2
04/19/21 03:38:34,-6
04/19/21 03:39:34,-23
04/19/21 03:40:34,-9
04/19/21 03:41:34,-18
04/19/21 03:42:34,0
04/19/21 03:43:34,-8
04/19/21 03:44:34,2
04/19/21 03:45:34,14
04/19/21 03:46:34,8
04/19/21 03:47:34,-13
04/19/21 03:48:34,13
04/19/21 03:49:34,26
04/19/21 03:50:34,8
04/19/21 03:51:34,-1
04/19/21 03:52:34,0
04/19/21 03:53:34,-8
04/19/21 03:54:35,5
04/19/21 03:55:35,0
04/19/21 03:56:35,-11
04/19/21 03:57:35,0
04/19/21 03:58:35,-24
04/19/21 03:59:35,0
04/19/21 04:00:35,0
04/19/21 04:01:35,0
04/19/21 04:02:35,0
04/19/21 04:03:35,-12
04/19/21 04:04:35,-12
04/19/21 04:05:35,-2
04/19/21 04:06:35,0
04/19/21 04:07:35,-49
04/19/21 04:08:35,-2
04/19/21 04:09:35,-52
04/19/21 04:10:35,-60
04/19/21 04:11:35,-19
04/19/21 04:12:35,-84
04/19/21 04:13:35,-62
04/19/21 04:14:35,-17
04/19/21 04:15:35,4
04/19/21 04:16:35,-2
04/19/21 04:17:35,-4
04/19/21 04:18:35,9
04/19/21 04:19:35,43
04/19/21 04:20:35,-8
04/19/21 04:21:35,-15
04/19/21 04:22:35,-59
04/19/21 04:23:35,2
04/19/21 04:24:35,1
04/19/21 04:25:35,11
04/19/21 04:26:35,-11
04/19/21 04:27:35,1
04/19/21 04:28:35,-47
04/19/21 04:29:35,-10
04/19/21 04:30:35,-9
04/19/21 04:31:35,-17
04/19/21 04:32:35,-26
04/19/21 04:33:35,-4
04/19/21 04:34:35,-32
04/19/21 04:35:35,0
04/19/21 04:36:35,69
04/19/21 04:37:35,0
04/19/21 04:38:35,0
04/19/21 04:39:35,-7
04/19/21 04:40:35,9
04/19/21 04:41:35,5
04/19/21 04:42:35,-2
04/19/21 04:43:35,-13
04/19/21 04:44:35,0
04/19/21 04:45:35,4
04/19/21 04:46:35,4
04/19/21 04:47:35,-4
04/19/21 04:48:35,0
04/19/21 04:49:35,8
04/19/21 04:50:35,-1
04/19/21 04:51:35,8
04/19/21 04:52:35,8
04/19/21 04:53:35,0
04/19/21 04:54:35,40
04/19/21 04:55:35,4
04/19/21 04:56:35,8
04/19/21 04:57:35,-60
04/19/21 04:58:35,0
04/19/21 04:59:35,-43
04/19/21 05:00:35,36
04/19/21 05:01:35,2
04/19/21 05:02:35,10
04/19/21 05:03:35,9
04/19/21 05:04:35,5
04/19/21 05:05:35,19
04/19/21 05:06:35,4
04/19/21 05:07:35,20
04/19/21 05:08:35,7
04/19/21 05:09:35,27
04/19/21 05:10:35,7
04/19/21 05:11:35,20
04/19/21 05:12:35,0
04/19/21 05:13:35,26
04/19/21 05:14:35,0
04/19/21 05:15:35,24
04/19/21 05:16:35,33
04/19/21 05:17:35,55
04/19/21 05:18:35,13
04/19/21 05:19:36,26
04/19/21 05:20:36,-10
04/19/21 05:21:36,17
04/19/21 05:22:36,19
04/19/21 05:23:36,13
04/19/21 05:24:36,11
04/19/21 05:25:36,0
04/19/21 05:26:36,0
04/19/21 05:27:36,-6
04/19/21 05:28:36,0
04/19/21 05:29:36,-12
04/19/21 05:30:36,12
04/19/21 05:31:36,1
04/19/21 05:32:36,0
04/19/21 05:33:36,0
04/19/21 05:34:36,4
04/19/21 05:35:36,14
