timestamp,Infrared to Red Signal Ratio
12/14/20 00:56:00,-5
12/14/20 00:57:00,7
12/14/20 00:58:00,-17
12/14/20 00:59:00,45
12/14/20 01:00:00,4
12/14/20 01:01:00,0
12/14/20 01:02:00,24
12/14/20 01:03:00,-10
12/14/20 01:04:00,-43
12/14/20 01:05:00,4
12/14/20 01:06:00,17
12/14/20 01:07:00,12
12/14/20 01:08:00,-40
12/14/20 01:09:00,-4
12/14/20 01:10:00,-72
12/14/20 01:11:00,0
12/14/20 01:12:00,-47
12/14/20 01:13:01,-42
12/14/20 01:14:01,-16
12/14/20 01:15:01,-18
12/14/20 01:16:01,-8
12/14/20 01:17:01,0
12/14/20 01:18:01,0
12/14/20 01:19:01,-11
12/14/20 01:20:01,0
12/14/20 01:21:01,10
12/14/20 01:22:01,-4
12/14/20 01:23:01,0
12/14/20 01:24:01,5
12/14/20 01:25:01,-25
12/14/20 01:26:01,0
12/14/20 01:27:01,-3
12/14/20 01:28:01,0
12/14/20 01:29:01,-3
12/14/20 01:30:01,4
12/14/20 01:31:01,0
12/14/20 01:32:01,-2
12/14/20 01:33:01,-26
12/14/20 01:34:01,-9
12/14/20 01:35:01,-24
12/14/20 01:36:01,2
12/14/20 01:37:01,4
12/14/20 01:38:01,18
12/14/20 01:39:01,3
12/14/20 01:40:01,1
12/14/20 01:41:01,0
12/14/20 01:42:01,-22
12/14/20 01:43:01,0
12/14/20 01:44:01,34
12/14/20 01:45:01,4
12/14/20 01:46:01,50
12/14/20 01:47:01,0
12/14/20 01:48:01,-4
12/14/20 01:49:01,0
12/14/20 01:50:01,5
12/14/20 01:51:01,0
12/14/20 01:52:01,-24
12/14/20 01:53:01,-25
12/14/20 01:54:01,-3
12/14/20 01:55:01,-1
12/14/20 01:56:01,25
12/14/20 01:57:01,35
12/14/20 01:58:01,0
12/14/20 01:59:01,25
12/14/20 02:00:01,4
12/14/20 02:01:01,4
12/14/20 02:02:01,0
12/14/20 02:03:01,-8
12/14/20 02:04:01,6
12/14/20 02:05:01,0
12/14/20 02:06:01,0
12/14/20 02:07:01,8
12/14/20 02:08:01,0
12/14/20 02:09:01,44
12/14/20 02:10:03,-2
12/14/20 02:11:03,27
12/14/20 02:12:03,-3
12/14/20 02:13:03,-18
12/14/20 02:14:03,8
12/14/20 02:15:03,-4
12/14/20 02:16:03,-11
12/14/20 02:17:03,-4
12/14/20 02:18:03,2
12/14/20 02:19:03,-4
12/14/20 02:20:03,-19
12/14/20 02:21:03,1
12/14/20 02:22:03,3
12/14/20 02:23:03,20
12/14/20 02:24:03,-3
12/14/20 02:25:03,-4
12/14/20 02:26:03,0
12/14/20 02:27:03,-4
12/14/20 02:28:03,-51
12/14/20 02:29:03,0
12/14/20 02:30:03,20
12/14/20 02:31:03,0
12/14/20 02:32:03,0
12/14/20 02:33:03,0
12/14/20 02:34:03,0
12/14/20 02:35:03,0
12/14/20 02:36:03,23
12/14/20 02:37:03,-11
12/14/20 02:38:03,-60
12/14/20 02:39:03,-8
12/14/20 02:40:03,30
12/14/20 02:41:03,8
12/14/20 02:42:03,26
12/14/20 02:43:03,-21
12/14/20 02:44:03,0
12/14/20 02:45:03,-4
12/14/20 02:46:03,-6
12/14/20 02:47:03,0
12/14/20 02:48:03,-4
12/14/20 02:49:03,1
12/14/20 02:50:03,0
12/14/20 02:51:03,8
12/14/20 02:52:03,-1
12/14/20 02:53:03,4
12/14/20 02:54:03,2
12/14/20 02:55:03,-43
12/14/20 02:56:03,3
12/14/20 02:57:03,0
12/14/20 02:58:03,0
12/14/20 02:59:03,12
12/14/20 03:00:03,-6
12/14/20 03:01:03,1
12/14/20 03:02:03,-11
12/14/20 03:03:03,-13
12/14/20 03:04:03,0
12/14/20 03:05:03,0
12/14/20 03:06:03,-7
12/14/20 03:07:03,-5
12/14/20 03:08:03,-48
12/14/20 03:09:03,-3
12/14/20 03:10:03,0
12/14/20 03:11:03,7
12/14/20 03:12:03,-19
12/14/20 03:13:03,-10
12/14/20 03:14:03,17
12/14/20 03:15:03,0
12/14/20 03:16:03,-1
12/14/20 03:17:03,5
12/14/20 03:18:03,0
12/14/20 04:18:00,-52
12/14/20 04:19:00,-2
12/14/20 04:20:00,0
12/14/20 04:21:00,0
12/14/20 04:22:00,0
12/14/20 04:23:00,-4
12/14/20 04:24:00,0
