timestamp,Infrared to Red Signal Ratio
06/24/19 05:44:05,0
06/24/19 05:45:05,-5
06/24/19 05:46:05,0
06/24/19 05:47:05,0
06/24/19 05:48:05,0
06/24/19 05:49:05,0
06/24/19 05:50:05,-1
06/24/19 05:51:05,0
06/24/19 05:52:05,-2
06/24/19 05:53:05,6
06/24/19 05:54:05,3
06/24/19 05:55:06,0
06/24/19 05:56:06,0
06/24/19 05:57:06,-3
06/24/19 05:58:06,10
06/24/19 05:59:06,-1
06/24/19 06:00:06,-4
06/24/19 06:01:06,-4
06/24/19 06:02:06,-4
06/24/19 06:03:06,0
06/24/19 06:04:07,-3
06/24/19 06:05:07,-14
06/24/19 06:06:07,3
06/24/19 06:07:07,-1
06/24/19 06:08:07,-13
06/24/19 06:09:07,-1
06/24/19 06:10:07,-14
06/24/19 06:11:07,12
06/24/19 06:12:08,1
06/24/19 06:13:08,17
06/24/19 06:14:08,0
06/24/19 06:15:08,2
06/24/19 06:16:08,0
06/24/19 06:17:08,0
06/24/19 06:18:08,0
06/24/19 06:19:08,-8
06/24/19 06:20:08,-11
06/24/19 06:21:08,-11
06/24/19 06:22:08,-16
06/24/19 06:23:08,-1
06/24/19 06:24:08,-6
06/24/19 06:25:08,2
06/24/19 06:26:08,-2
06/24/19 06:27:08,-36
06/24/19 06:28:08,1
06/24/19 06:29:09,-1
06/24/19 06:30:09,-3
06/24/19 06:31:09,0
06/24/19 06:43:01,3
06/24/19 06:44:01,-1
06/24/19 06:45:01,-2
06/24/19 06:46:01,-5
06/24/19 06:47:01,-14
06/24/19 06:48:01,-3
06/24/19 06:49:01,-1
06/24/19 06:50:01,-10
06/24/19 06:51:01,-1
06/24/19 06:52:01,-2
06/24/19 06:53:01,-12
06/24/19 06:54:01,0
06/24/19 06:55:02,-2
06/24/19 06:56:02,-1
06/24/19 06:57:02,-1
06/24/19 06:58:02,3
06/24/19 06:59:02,-3
06/24/19 07:00:02,-5
06/24/19 07:01:02,-6
06/24/19 07:02:02,-10
06/24/19 07:03:02,1
06/24/19 07:04:02,-3
06/24/19 07:05:02,0
06/24/19 07:06:02,-1
06/24/19 07:07:02,-2
06/24/19 07:08:02,-1
06/24/19 07:09:02,0
06/24/19 07:10:02,0
06/24/19 07:11:02,0
06/24/19 07:12:03,9
06/24/19 07:13:03,15
06/24/19 07:14:03,5
06/24/19 07:15:03,1
06/24/19 07:16:03,31
06/24/19 07:17:03,0
06/24/19 07:18:03,1
06/24/19 07:19:03,-1
06/24/19 07:20:03,-2
06/24/19 07:21:03,7
06/24/19 07:22:03,-1
06/24/19 07:23:03,13
06/24/19 07:24:03,5
06/24/19 07:25:03,1
06/24/19 07:26:03,9
06/24/19 07:27:03,10
06/24/19 07:28:03,4
06/24/19 07:29:04,9
06/24/19 07:30:06,2
06/24/19 07:31:06,2
06/24/19 07:32:06,0
06/24/19 07:33:06,-8
06/24/19 07:34:06,2
06/24/19 07:35:06,0
06/24/19 07:36:06,14
06/24/19 07:37:06,-29
06/24/19 07:38:06,-26
06/24/19 07:39:06,-1
06/24/19 07:40:08,2
06/24/19 07:41:08,2
06/24/19 07:42:08,-1
06/24/19 07:43:08,3
06/24/19 07:44:08,-1
06/24/19 07:45:08,2
06/24/19 07:46:09,2
06/24/19 07:47:09,-1
06/24/19 07:48:09,-1
06/24/19 07:49:09,7
06/24/19 07:50:09,-1
06/24/19 07:51:09,-1
06/24/19 07:52:09,-1
06/24/19 07:53:09,0
06/24/19 07:54:09,-2
06/24/19 07:55:09,0
06/24/19 07:56:09,-3
06/24/19 07:57:09,-1
06/24/19 07:58:09,0
06/24/19 07:59:09,7
06/24/19 08:00:09,0
06/24/19 08:01:09,2
06/24/19 08:02:09,-11
06/24/19 08:03:10,-1
06/24/19 08:04:10,8
06/24/19 08:05:10,0
06/24/19 08:06:10,-1
06/24/19 08:07:10,-1
06/24/19 08:08:10,0
06/24/19 08:09:10,-1
06/24/19 08:10:10,-1
06/24/19 08:11:10,25
06/24/19 08:12:10,1
06/24/19 08:13:10,-7
06/24/19 08:14:10,4
06/24/19 08:15:10,2
06/24/19 08:16:10,1
06/24/19 08:17:10,4
06/24/19 08:18:10,1
06/24/19 08:19:10,-1
06/24/19 08:20:11,1
06/24/19 08:21:11,0
06/24/19 08:22:11,-5
06/24/19 08:23:11,3
06/24/19 08:24:11,16
06/24/19 08:25:11,4
06/24/19 08:26:11,20
06/24/19 08:27:11,7
06/24/19 08:28:11,-1
06/24/19 08:29:11,0
06/24/19 08:30:11,8
06/24/19 08:31:11,7
06/24/19 08:32:11,11
06/24/19 08:33:11,2
06/24/19 08:34:11,18
06/24/19 08:35:11,1
06/24/19 08:36:11,1
06/24/19 08:37:12,-14
06/24/19 08:38:12,-2
06/24/19 08:39:12,-34
06/24/19 08:40:12,-78
06/24/19 08:41:12,-39
06/24/19 08:42:12,-36
06/24/19 08:43:12,-41
06/24/19 08:44:12,10
06/24/19 08:45:12,-20
06/24/19 08:46:12,19
06/24/19 08:47:12,-66
06/24/19 08:48:12,-12
06/24/19 08:49:12,29
06/24/19 08:50:12,1
06/24/19 08:51:12,-2
06/24/19 08:52:12,3
06/24/19 08:53:12,-9
06/24/19 08:54:12,-37
06/24/19 08:55:13,-1
06/24/19 08:56:13,0
06/24/19 08:57:13,3
06/24/19 08:58:13,-16
06/24/19 08:59:13,-3
06/24/19 09:00:13,20
06/24/19 09:01:13,-2
06/24/19 09:02:13,0
06/24/19 09:03:13,-2
06/24/19 09:04:13,-2
06/24/19 09:05:13,0
06/24/19 09:06:13,16
06/24/19 09:07:13,-1
06/24/19 09:08:13,-1
06/24/19 09:09:13,0
06/24/19 09:10:13,4
06/24/19 09:11:13,1
06/24/19 09:12:14,0
06/24/19 09:13:14,2
06/24/19 09:14:14,8
06/24/19 09:15:14,-3
06/24/19 09:16:14,-1
06/24/19 09:17:14,5
06/24/19 09:18:14,-15
06/24/19 09:19:14,0
06/24/19 09:20:14,1
06/24/19 09:21:14,10
06/24/19 09:22:14,20
06/24/19 09:23:14,-20
06/24/19 09:24:14,0
06/24/19 09:25:14,-2
06/24/19 09:26:14,-4
06/24/19 09:27:14,0
06/24/19 09:28:14,-7
06/24/19 09:29:15,-5
06/24/19 09:30:15,-4
06/24/19 09:31:15,-1
06/24/19 09:32:15,-2
06/24/19 09:33:15,-6
06/24/19 09:34:15,-2
06/24/19 09:35:15,-8
06/24/19 09:36:15,-1
06/24/19 09:37:15,1
06/24/19 09:38:15,0
06/24/19 09:39:15,0
06/24/19 09:40:15,-1
06/24/19 09:41:15,2
06/24/19 09:42:15,-12
06/24/19 09:43:15,0
06/24/19 09:44:15,-3
06/24/19 09:45:15,0
06/24/19 09:46:16,-2
06/24/19 09:47:16,2
06/24/19 09:48:16,-1
06/24/19 09:49:16,3
06/24/19 09:50:16,-1
06/24/19 09:51:16,0
06/24/19 09:52:16,9
06/24/19 09:53:16,-9
06/24/19 09:54:16,-2
06/24/19 09:55:16,1
06/24/19 09:56:16,-1
06/24/19 09:57:16,0
06/24/19 09:58:16,23
06/24/19 09:59:16,-26
06/24/19 10:00:16,16
06/24/19 10:01:16,-1
06/24/19 10:02:17,0
06/24/19 10:03:18,-1
06/24/19 10:04:18,-7
06/24/19 10:05:18,-5
06/24/19 10:06:18,-4
06/24/19 10:07:18,-21
06/24/19 10:08:18,-10
06/24/19 10:09:18,0
06/24/19 10:10:18,-4
06/24/19 10:11:18,-4
06/24/19 10:12:18,-12
06/24/19 10:13:18,-15
06/24/19 10:14:18,-5
06/24/19 10:15:18,29
06/24/19 10:16:18,-2
06/24/19 10:17:18,-1
06/24/19 10:18:18,0
06/24/19 10:19:18,-1
06/24/19 10:20:19,-1
06/24/19 10:21:19,-4
06/24/19 10:22:19,-1
06/24/19 10:23:19,-7
06/24/19 10:24:19,-3
06/24/19 10:25:19,32
06/24/19 10:26:19,1
06/24/19 10:27:19,6
06/24/19 10:28:19,1
06/24/19 10:29:19,0
06/24/19 10:30:19,-2
06/24/19 10:31:19,3
06/24/19 10:32:19,-1
06/24/19 10:33:19,-11
06/24/19 10:34:19,2
06/24/19 10:35:19,2
06/24/19 10:36:19,0
06/24/19 10:37:20,2
06/24/19 10:38:20,0
06/24/19 10:39:20,0
06/24/19 10:40:20,-12
06/24/19 10:41:20,5
06/24/19 10:42:20,12
06/24/19 10:43:20,6
06/24/19 10:44:20,8
06/24/19 10:45:20,1
06/24/19 10:46:20,2
06/24/19 10:47:20,5
06/24/19 10:48:20,0
06/24/19 10:49:20,-10
06/24/19 10:50:20,-7
06/24/19 10:51:20,5
06/24/19 10:52:20,-4
06/24/19 10:53:20,0
06/24/19 10:54:21,0
06/24/19 10:55:21,2
06/24/19 10:56:21,-10
06/24/19 10:57:21,10
06/24/19 10:58:21,23
06/24/19 10:59:21,7
06/24/19 11:00:21,7
06/24/19 11:01:22,1
06/24/19 11:02:22,5
06/24/19 11:03:22,0
06/24/19 11:04:24,14
06/24/19 11:05:24,0
06/24/19 11:06:24,0
06/24/19 11:07:24,3
06/24/19 11:08:24,0
06/24/19 11:09:24,12
06/24/19 11:10:24,4
06/24/19 11:11:25,-16
06/24/19 11:12:25,21
06/24/19 11:13:25,2
06/24/19 11:14:25,11
06/24/19 11:15:25,15
06/24/19 11:16:25,-1
06/24/19 11:17:25,-2
06/24/19 11:18:25,6
06/24/19 11:19:25,10
06/24/19 11:20:25,1
06/24/19 11:21:25,-13
06/24/19 11:22:25,7
06/24/19 11:23:25,8
06/24/19 11:24:25,5
06/24/19 11:25:25,-13
06/24/19 11:26:25,15
06/24/19 11:27:25,-1
06/24/19 11:28:26,1
06/24/19 11:29:26,11
06/24/19 11:30:26,-3
06/24/19 11:31:26,1
06/24/19 11:32:26,0
06/24/19 11:33:26,1
06/24/19 11:34:27,0
06/24/19 11:35:27,9
06/24/19 11:36:27,-7
06/24/19 11:37:27,-1
06/24/19 11:38:29,-1
06/24/19 11:39:29,1
06/24/19 11:40:29,-15
06/24/19 11:41:30,1
06/24/19 11:42:30,-1
06/24/19 11:43:30,-2
06/24/19 11:44:30,1
06/24/19 11:45:31,-2
06/24/19 11:46:31,-4
06/24/19 11:47:31,-1
06/24/19 11:48:31,-27
06/24/19 11:49:32,-10
06/24/19 11:50:32,0
06/24/19 11:51:32,2
06/24/19 11:52:32,-1
06/24/19 11:53:32,-1
06/24/19 11:54:32,0
06/24/19 11:55:33,-4
06/24/19 11:56:33,-2
06/24/19 11:57:33,-3
06/24/19 11:58:33,-2
06/24/19 11:59:33,6
06/24/19 12:00:33,-2
06/24/19 12:01:33,-2
06/24/19 12:02:34,6
06/24/19 12:03:34,0
06/24/19 12:04:34,-6
06/24/19 12:05:34,4
06/24/19 12:06:34,-11
06/24/19 12:07:34,-35
06/24/19 12:08:34,-9
06/24/19 12:09:34,-3
06/24/19 12:10:35,7
06/24/19 12:11:35,-55
06/24/19 12:12:35,-8
06/24/19 12:13:35,-1
06/24/19 12:14:35,0
06/24/19 12:15:35,-57
06/24/19 12:16:35,-28
06/24/19 12:17:35,-11
06/24/19 12:18:35,-20
06/24/19 12:19:36,1
06/24/19 12:20:36,8
06/24/19 12:21:36,0
06/24/19 12:22:36,0
06/24/19 12:23:36,-1
06/24/19 12:24:36,2
06/24/19 12:25:36,-3
06/24/19 12:26:36,41
06/24/19 12:27:36,4
06/24/19 12:28:36,3
06/24/19 12:29:36,1
06/24/19 12:30:36,5
06/24/19 12:31:36,0
06/24/19 12:32:36,-13
06/24/19 12:33:36,-24
06/24/19 12:34:36,8
06/24/19 12:35:36,17
