timestamp,Infrared to Red Signal Ratio
11/12/20 04:56:01,37
11/12/20 04:57:01,0
11/12/20 04:58:01,-1
11/12/20 04:59:01,2
11/12/20 05:00:01,-12
11/12/20 05:01:01,1
11/12/20 05:02:01,0
11/12/20 05:03:01,0
11/12/20 05:04:01,12
11/12/20 05:05:01,20
11/12/20 05:06:01,10
11/12/20 05:07:01,19
11/12/20 05:08:01,-1
11/12/20 05:09:01,1
11/12/20 05:10:01,0
11/12/20 05:11:01,13
11/12/20 05:12:01,26
11/12/20 05:13:01,36
11/12/20 05:14:01,5
11/12/20 05:15:01,11
11/12/20 05:16:01,-7
11/12/20 05:17:01,-1
11/12/20 05:18:01,11
11/12/20 05:19:01,16
11/12/20 05:20:01,-1
11/12/20 05:21:01,8
11/12/20 05:22:01,6
11/12/20 05:23:01,-5
11/12/20 05:24:01,-1
11/12/20 05:25:01,-1
11/12/20 05:26:01,-14
11/12/20 05:27:01,28
11/12/20 05:28:01,0
11/12/20 05:29:01,-2
11/12/20 05:30:01,-2
11/12/20 05:31:01,-2
11/12/20 05:32:01,-6
11/12/20 05:33:01,3
11/12/20 05:34:01,0
11/12/20 05:35:01,-4
11/12/20 05:36:01,2
11/12/20 05:37:01,-14
11/12/20 05:38:01,-2
11/12/20 05:39:01,-2
11/12/20 05:40:01,1
11/12/20 05:41:01,-2
11/12/20 05:42:01,-6
11/12/20 05:43:01,-6
11/12/20 05:44:01,-2
11/12/20 05:45:01,-2
11/12/20 05:46:01,-4
11/12/20 05:47:01,0
11/12/20 05:48:02,0
11/12/20 05:49:02,12
11/12/20 05:50:02,-6
11/12/20 05:51:02,2
11/12/20 05:52:02,2
11/12/20 05:53:02,5
11/12/20 05:54:02,-8
11/12/20 05:55:02,-3
11/12/20 05:56:02,0
11/12/20 05:57:02,-2
11/12/20 05:58:02,-2
11/12/20 05:59:02,-1
11/12/20 06:00:02,11
11/12/20 06:01:02,19
11/12/20 06:02:02,-1
11/12/20 06:03:02,26
11/12/20 06:04:02,0
11/12/20 06:05:02,-1
11/12/20 06:06:02,-1
11/12/20 06:07:02,-3
11/12/20 06:08:02,0
11/12/20 06:09:02,3
11/12/20 06:10:02,0
11/12/20 06:11:02,20
11/12/20 06:12:02,18
11/12/20 06:13:02,7
11/12/20 06:14:02,21
11/12/20 06:15:02,14
11/12/20 06:16:02,-1
11/12/20 06:17:02,1
11/12/20 06:18:02,-22
11/12/20 06:19:03,0
11/12/20 06:20:05,9
11/12/20 06:21:05,1
11/12/20 06:22:05,4
11/12/20 06:23:05,1
11/12/20 06:24:05,-1
11/12/20 06:25:05,-1
11/12/20 06:26:05,0
11/12/20 06:27:05,6
11/12/20 06:28:05,0
11/12/20 06:29:05,3
11/12/20 06:30:07,-2
11/12/20 06:31:07,-1
11/12/20 06:32:07,-2
11/12/20 06:33:07,-1
11/12/20 06:34:07,4
11/12/20 06:35:07,6
11/12/20 06:36:07,5
11/12/20 06:37:07,-2
11/12/20 06:38:07,-1
11/12/20 06:39:07,6
11/12/20 06:40:07,7
11/12/20 06:41:08,0
11/12/20 06:42:08,-1
11/12/20 06:43:08,23
11/12/20 06:44:08,0
11/12/20 06:45:08,2
11/12/20 06:46:08,8
11/12/20 06:47:08,2
11/12/20 06:48:08,0
11/12/20 06:49:08,2
11/12/20 06:50:08,-1
11/12/20 06:51:08,-1
11/12/20 06:52:08,-1
11/12/20 06:53:08,-15
11/12/20 06:54:08,1
11/12/20 06:55:08,-9
11/12/20 06:56:08,-15
11/12/20 06:57:08,5
11/12/20 06:58:08,-15
11/12/20 06:59:08,-5
11/12/20 07:00:08,-1
11/12/20 07:01:08,-3
11/12/20 07:02:08,-10
11/12/20 07:03:08,-6
11/12/20 07:04:08,0
11/12/20 07:05:08,-7
11/12/20 07:06:08,-1
11/12/20 07:07:08,0
11/12/20 07:08:08,-26
11/12/20 07:09:08,-3
11/12/20 07:10:08,-1
11/12/20 07:11:08,-3
11/12/20 07:12:08,-48
11/12/20 07:13:08,6
11/12/20 07:14:08,3
11/12/20 07:15:08,2
11/12/20 07:16:08,0
11/12/20 07:17:08,-4
11/12/20 07:18:08,8
11/12/20 07:19:08,0
11/12/20 07:20:08,-1
11/12/20 07:21:08,9
11/12/20 07:22:08,-19
11/12/20 07:23:08,-20
11/12/20 07:24:08,-1
11/12/20 07:25:08,-11
11/12/20 07:26:08,2
11/12/20 07:27:08,-12
11/12/20 07:28:08,-7
11/12/20 07:29:08,-13
11/12/20 07:30:08,1
11/12/20 07:31:08,-6
11/12/20 07:32:08,-1
11/12/20 07:33:08,-1
11/12/20 07:34:08,5
11/12/20 07:35:08,-1
11/12/20 07:36:08,0
11/12/20 07:37:08,0
11/12/20 07:38:08,-2
11/12/20 07:39:08,1
11/12/20 07:40:08,-1
11/12/20 07:41:08,-7
11/12/20 07:42:08,-3
11/12/20 07:43:08,3
11/12/20 07:44:08,-1
11/12/20 07:45:08,0
11/12/20 07:46:08,-1
11/12/20 07:47:08,6
11/12/20 07:48:08,0
11/12/20 07:49:08,7
11/12/20 07:50:08,-1
11/12/20 07:51:08,3
11/12/20 07:52:08,7
11/12/20 07:53:09,0
11/12/20 07:54:10,-12
11/12/20 07:55:10,4
11/12/20 07:56:10,0
11/12/20 07:57:10,-1
11/12/20 07:58:10,0
11/12/20 07:59:10,-1
11/12/20 08:00:10,0
11/12/20 08:01:11,0
11/12/20 08:02:12,0
11/12/20 08:03:12,-1
11/12/20 08:04:13,-14
11/12/20 08:05:13,-1
11/12/20 08:06:13,2
11/12/20 08:07:13,2
11/12/20 08:08:13,1
11/12/20 08:09:13,0
11/12/20 08:10:13,5
11/12/20 08:11:13,-30
11/12/20 08:12:13,19
11/12/20 08:13:13,-1
11/12/20 08:14:14,6
11/12/20 08:15:14,13
11/12/20 08:16:14,27
11/12/20 08:17:14,-2
11/12/20 08:18:14,2
11/12/20 08:19:14,12
11/12/20 08:20:14,14
11/12/20 08:21:14,0
11/12/20 08:22:14,1
11/12/20 08:23:14,4
11/12/20 08:24:14,9
11/12/20 08:25:14,0
11/12/20 08:26:14,-4
11/12/20 08:27:14,-12
11/12/20 08:28:14,1
11/12/20 08:29:14,-10
11/12/20 08:30:15,-11
11/12/20 08:31:15,2
11/12/20 08:32:17,0
11/12/20 08:33:20,20
11/12/20 08:34:20,0
11/12/20 08:35:20,0
11/12/20 08:36:21,7
11/12/20 08:37:21,0
11/12/20 08:38:21,12
11/12/20 08:39:21,10
11/12/20 08:40:21,-35
11/12/20 08:41:21,2
11/12/20 08:42:21,2
11/12/20 08:43:22,-3
11/12/20 08:44:22,-3
11/12/20 08:45:22,0
11/12/20 08:46:22,-1
11/12/20 08:47:22,2
11/12/20 08:48:22,2
11/12/20 08:49:22,-2
11/12/20 08:50:22,-2
11/12/20 08:51:22,-1
11/12/20 08:52:22,0
11/12/20 08:53:22,1
11/12/20 08:54:22,-1
11/12/20 08:55:22,0
11/12/20 08:56:22,-4
11/12/20 08:57:22,50
11/12/20 08:58:22,2
11/12/20 08:59:22,7
11/12/20 09:00:22,0
11/12/20 09:01:22,5
11/12/20 09:02:22,37
11/12/20 09:03:22,18
11/12/20 09:04:22,0
11/12/20 09:05:22,4
11/12/20 09:06:22,31
11/12/20 09:07:22,8
11/12/20 09:08:22,25
11/12/20 09:09:22,19
11/12/20 09:10:22,26
11/12/20 09:11:22,0
11/12/20 09:12:22,7
11/12/20 09:13:23,1
11/12/20 09:14:23,-1
11/12/20 09:15:23,12
11/12/20 09:16:23,8
11/12/20 09:17:24,5
11/12/20 09:18:24,-5
11/12/20 09:19:24,-5
11/12/20 09:20:24,-1
11/12/20 09:21:24,1
11/12/20 09:22:24,-12
11/12/20 09:23:24,4
11/12/20 09:24:24,0
11/12/20 09:25:25,-1
11/12/20 09:26:26,0
11/12/20 09:27:27,-3
11/12/20 09:28:28,-3
11/12/20 09:29:28,3
11/12/20 09:30:28,-1
11/12/20 09:31:28,-53
11/12/20 09:32:28,-7
11/12/20 09:33:28,0
11/12/20 09:34:28,23
11/12/20 09:35:28,2
11/12/20 09:36:28,2
11/12/20 09:37:28,-2
11/12/20 09:38:28,0
11/12/20 09:39:28,15
11/12/20 09:40:28,2
11/12/20 09:41:28,12
11/12/20 09:42:28,4
11/12/20 09:43:29,-1
11/12/20 09:44:29,0
11/12/20 09:45:29,4
11/12/20 09:46:29,1
