timestamp,Infrared to Red Signal Ratio
08/18/22 08:10:30,-69
08/18/22 08:11:30,-3
08/18/22 08:12:30,-3
08/18/22 08:13:30,-12
08/18/22 08:14:30,-11
08/18/22 08:15:30,-8
08/18/22 08:16:30,0
08/18/22 08:17:30,-5
08/18/22 08:18:30,3
08/18/22 08:19:30,0
08/18/22 08:20:30,36
08/18/22 08:21:30,0
08/18/22 08:22:30,-21
08/18/22 08:23:30,17
08/18/22 08:24:30,20
08/18/22 08:25:30,0
08/18/22 08:26:30,3
08/18/22 08:27:30,17
08/18/22 08:28:30,0
08/18/22 08:29:30,-5
08/18/22 08:30:30,-10
08/18/22 08:31:30,0
08/18/22 08:32:30,0
08/18/22 08:33:30,0
08/18/22 08:34:30,0
08/18/22 08:35:30,0
08/18/22 08:36:30,0
08/18/22 08:37:30,-30
08/18/22 08:38:30,1
08/18/22 08:39:30,0
08/18/22 08:40:30,45
08/18/22 15:14:30,17
08/18/22 15:15:30,0
08/18/22 15:16:30,0
08/18/22 15:17:30,0
08/18/22 15:18:30,0
08/18/22 15:19:30,0
08/18/22 15:20:30,0
08/18/22 15:21:30,10
08/18/22 15:22:31,11
08/18/22 15:23:31,0
08/18/22 15:24:31,15
08/18/22 15:25:31,0
08/18/22 15:26:31,26
08/18/22 15:27:31,0
08/18/22 15:28:31,7
08/18/22 15:29:31,19
08/18/22 15:30:31,1
08/18/22 15:31:31,3
08/18/22 15:32:31,0
08/18/22 15:33:31,4
08/18/22 15:34:31,-36
08/18/22 15:35:31,1
08/18/22 15:36:31,-11
08/18/22 15:37:31,-4
08/18/22 15:38:31,0
08/18/22 15:39:31,27
08/18/22 15:40:31,63
08/18/22 15:41:31,43
08/18/22 15:42:31,-63
08/18/22 15:43:31,-51
08/18/22 15:44:31,15
08/18/22 15:45:31,0
08/18/22 15:46:31,-34
08/18/22 15:47:31,26
08/18/22 15:48:31,8
08/18/22 15:49:31,-6
08/18/22 15:50:31,3
08/18/22 15:51:31,16
08/18/22 15:52:31,21
08/18/22 15:53:31,49
08/18/22 15:54:31,11
08/18/22 15:55:31,-8
08/18/22 15:56:31,14
08/18/22 15:57:31,4
08/18/22 15:58:31,-7
08/18/22 15:59:31,11
08/18/22 16:00:31,-2
08/18/22 16:01:31,0
08/18/22 16:02:31,1
08/18/22 16:03:31,0
08/18/22 16:04:31,0
08/18/22 16:05:31,0
08/18/22 16:06:31,-5
08/18/22 16:07:31,-63
08/18/22 16:08:31,0
08/18/22 16:09:31,-1
08/18/22 16:10:31,-3
08/18/22 16:11:31,-32
08/18/22 16:12:31,-13
08/18/22 16:13:31,26
08/18/22 16:14:31,21
08/18/22 16:15:31,1
08/18/22 16:16:31,0
08/18/22 16:17:32,0
08/18/22 16:18:32,0
08/18/22 16:19:32,45
08/18/22 16:20:32,-17
08/18/22 16:21:32,9
08/18/22 16:22:32,-2
08/18/22 16:23:32,0
08/18/22 16:24:32,-6
08/18/22 16:25:32,-7
08/18/22 16:26:32,0
08/18/22 16:27:32,7
08/18/22 16:28:32,0
08/18/22 16:29:32,0
08/18/22 16:30:32,5
08/18/22 16:31:32,-4
08/18/22 16:32:32,0
08/18/22 16:33:32,5
08/18/22 16:34:32,-12
08/18/22 16:35:32,13
08/18/22 16:36:32,-1
08/18/22 16:37:32,-3
08/18/22 16:38:32,-12
08/18/22 16:39:32,-5
08/18/22 16:40:32,0
08/18/22 16:41:32,0
08/18/22 16:42:32,0
08/18/22 16:43:32,0
08/18/22 16:44:32,52
08/18/22 16:45:32,10
08/18/22 16:46:32,0
08/18/22 16:47:32,3
08/18/22 16:48:32,0
08/18/22 16:49:32,0
08/18/22 16:50:32,0
08/18/22 16:51:32,1
08/18/22 16:52:32,-47
